NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	Details ...	146	0.7277605	2.5180593	0.0	0.0	0.0	1700	tags=36%, list=10%, signal=40%	
REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1905897	REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1905897	Details ...	74	0.7376849	2.3832147	0.0	0.0	0.0	639	tags=23%, list=4%, signal=24%	
REGULATION OF CHOLESTEROL BIOSYNTHESIS BY SREBP (SREBF)%REACTOME DATABASE ID RELEASE 93%1655829	REGULATION OF CHOLESTEROL BIOSYNTHESIS BY SREBP (SREBF)%REACTOME DATABASE ID RELEASE 93%1655829	Details ...	53	0.7718598	2.3477933	0.0	0.0	0.0	1782	tags=49%, list=11%, signal=55%	
METABOLISM OF STEROIDS%REACTOME%R-HSA-8957322.4	METABOLISM OF STEROIDS%REACTOME%R-HSA-8957322.4	Details ...	112	0.6905616	2.3139358	0.0	0.0	0.0	1782	tags=34%, list=11%, signal=38%	
CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH RUSSELL PATHWAYS%WIKIPATHWAYS_20250810%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH RUSSELL PATHWAYS%WIKIPATHWAYS_20250810%WP4718%HOMO SAPIENS	Details ...	39	0.8158012	2.3120701	0.0	0.0	0.0	1194	tags=54%, list=7%, signal=58%	
NEGATIVE REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1903573	NEGATIVE REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1903573	Details ...	41	0.79653	2.303829	0.0	0.0	0.0	479	tags=27%, list=3%, signal=28%	
REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890	REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890	Details ...	110	0.6804681	2.2953012	0.0	0.0	0.0	940	tags=19%, list=6%, signal=20%	
REGULATION OF LIPID METABOLISM BY PPARALPHA%REACTOME%R-HSA-400206.8	REGULATION OF LIPID METABOLISM BY PPARALPHA%REACTOME%R-HSA-400206.8	Details ...	104	0.6801145	2.2738526	0.0	0.0	0.0	1401	tags=25%, list=9%, signal=27%	
EPIGENETIC REGULATION OF GENE EXPRESSION BY MLL3 AND MLL4 COMPLEXES%REACTOME%R-HSA-9818564.1	EPIGENETIC REGULATION OF GENE EXPRESSION BY MLL3 AND MLL4 COMPLEXES%REACTOME%R-HSA-9818564.1	Details ...	91	0.68937397	2.2643178	0.0	1.1555204E-4	0.001	1133	tags=23%, list=7%, signal=25%	
EPIGENETIC REGULATION OF ADIPOGENESIS GENES BY MLL3 AND MLL4 COMPLEXES%REACTOME DATABASE ID RELEASE 93%9851695	EPIGENETIC REGULATION OF ADIPOGENESIS GENES BY MLL3 AND MLL4 COMPLEXES%REACTOME DATABASE ID RELEASE 93%9851695	Details ...	91	0.68937397	2.2549841	0.0	2.0821433E-4	0.002	1133	tags=23%, list=7%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE%MSIGDBHALLMARK%HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE%MSIGDBHALLMARK%HALLMARK_ANDROGEN_RESPONSE	Details ...	64	0.7210161	2.2503598	0.0	1.8928575E-4	0.002	1213	tags=28%, list=7%, signal=30%	
