NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	98	85		
BDNF%IOB%BDNF	15		Rejected!	
CCR1%IOB%CCR1	24		Rejected!	
CCR5%IOB%CCR5	28	16		
CCR7%IOB%CCR7	17		Rejected!	
CCR9%IOB%CCR9	15		Rejected!	
CD40%IOB%CD40	20	17		
CXCR4%IOB%CXCR4	69	52		
EGFR1%IOB%EGFR1	371		Rejected!	
EPO%IOB%EPO	25	22		
FAS%IOB%FAS	83	74		
FLK2 FLT3%IOB%FLK2 FLT3	12		Rejected!	
G-CSF%IOB%G-CSF	33	27		
GDNF%IOB%GDNF	16		Rejected!	
GM-CSF%IOB%GM-CSF	54	44		
HEDGEHOG%IOB%HEDGEHOG	25	20		
ID%IOB%ID	17	16		
IFN-ALPHA%IOB%IFN-ALPHA	29	27		
IFN-GAMMA%IOB%IFN-GAMMA	22	20		
KITRECEPTOR%IOB%KITRECEPTOR	60	51		
LEPTIN%IOB%LEPTIN	23	20		
M-CSF%IOB%M-CSF	21	18		
NGF%IOB%NGF	7		Rejected!	
NOTCH%IOB%NOTCH	54	49		
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	132	115		
THROMBOPOIETIN%IOB%THROMBOPOIETIN	9		Rejected!	
TIE1 TEK%IOB%TIE1 TEK	13		Rejected!	
TNFALPHA%IOB%TNFALPHA	169	159		
TNFSF1%IOB%TNFSF1	14		Rejected!	
TNFSF3%IOB%TNFSF3	14		Rejected!	
TNFSF8%IOB%TNFSF8	9		Rejected!	
TRAIL%IOB%TRAIL	43	43		
WNT%IOB%WNT	65	51		
BIOCARTA_TERT_PATHWAY%MSIGDB_C2%BIOCARTA_TERT_PATHWAY	7		Rejected!	
PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY	31	23		
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	62	54		
PID_P53_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_P53_DOWNSTREAM_PATHWAY	125	109		
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	42	41		
BIOCARTA_MEF2D_PATHWAY%MSIGDB_C2%BIOCARTA_MEF2D_PATHWAY	14		Rejected!	
BIOCARTA_PPARG_PATHWAY%MSIGDB_C2%BIOCARTA_PPARG_PATHWAY	8		Rejected!	
PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY	40	35		
PID_SYNDECAN_4_PATHWAY%MSIGDB_C2%PID_SYNDECAN_4_PATHWAY	26	19		
PID_LPA4_PATHWAY%MSIGDB_C2%PID_LPA4_PATHWAY	10		Rejected!	
PID_NECTIN_PATHWAY%MSIGDB_C2%PID_NECTIN_PATHWAY	24	24		
PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	29	21		
PID_ARF6_TRAFFICKING_PATHWAY%MSIGDB_C2%PID_ARF6_TRAFFICKING_PATHWAY	36	31		
BIOCARTA_TGFB_PATHWAY%MSIGDB_C2%BIOCARTA_TGFB_PATHWAY	14		Rejected!	
PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	39	32		
BIOCARTA_MRP_PATHWAY%MSIGDB_C2%BIOCARTA_MRP_PATHWAY	6		Rejected!	
PID_MYC_PATHWAY%MSIGDB_C2%PID_MYC_PATHWAY	21	21		
PID_EPHB_FWD_PATHWAY%MSIGDB_C2%PID_EPHB_FWD_PATHWAY	35	31		
BIOCARTA_PLCE_PATHWAY%MSIGDB_C2%BIOCARTA_PLCE_PATHWAY	8		Rejected!	
PID_HIF1_TFPATHWAY%MSIGDB_C2%PID_HIF1_TFPATHWAY	54	37		
PID_NFKAPPAB_ATYPICAL_PATHWAY%MSIGDB_C2%PID_NFKAPPAB_ATYPICAL_PATHWAY	15		Rejected!	
BIOCARTA_EPHA4_PATHWAY%MSIGDB_C2%BIOCARTA_EPHA4_PATHWAY	7		Rejected!	
PID_ERBB_NETWORK_PATHWAY%MSIGDB_C2%PID_ERBB_NETWORK_PATHWAY	14		Rejected!	
PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY	47	38		
BIOCARTA_FREE_PATHWAY%MSIGDB_C2%BIOCARTA_FREE_PATHWAY	9		Rejected!	
BIOCARTA_CYTOKINE_PATHWAY%MSIGDB_C2%BIOCARTA_CYTOKINE_PATHWAY	19		Rejected!	
BIOCARTA_STRESS_PATHWAY%MSIGDB_C2%BIOCARTA_STRESS_PATHWAY	24	23		
PID_HIF1A_PATHWAY%MSIGDB_C2%PID_HIF1A_PATHWAY	13		Rejected!	
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	38	32		
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	20	18		
BIOCARTA_IL3_PATHWAY%MSIGDB_C2%BIOCARTA_IL3_PATHWAY	13		Rejected!	
PID_RAS_PATHWAY%MSIGDB_C2%PID_RAS_PATHWAY	23	20		
BIOCARTA_IL2_PATHWAY%MSIGDB_C2%BIOCARTA_IL2_PATHWAY	20		Rejected!	
PID_ERBB2_ERBB3_PATHWAY%MSIGDB_C2%PID_ERBB2_ERBB3_PATHWAY	38	36		
BIOCARTA_AKAP95_PATHWAY%MSIGDB_C2%BIOCARTA_AKAP95_PATHWAY	7		Rejected!	
PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY	29	19		
PID_PDGFRA_PATHWAY%MSIGDB_C2%PID_PDGFRA_PATHWAY	19	18		
PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY	23	21		
BIOCARTA_P38MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_P38MAPK_PATHWAY	29	27		
BIOCARTA_RB_PATHWAY%MSIGDB_C2%BIOCARTA_RB_PATHWAY	9		Rejected!	
BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY	28	27		
BIOCARTA_ACE2_PATHWAY%MSIGDB_C2%BIOCARTA_ACE2_PATHWAY	11		Rejected!	
BIOCARTA_STATHMIN_PATHWAY%MSIGDB_C2%BIOCARTA_STATHMIN_PATHWAY	15		Rejected!	
PID_P38_ALPHA_BETA_PATHWAY%MSIGDB_C2%PID_P38_ALPHA_BETA_PATHWAY	24	20		
BIOCARTA_41BB_PATHWAY%MSIGDB_C2%BIOCARTA_41BB_PATHWAY	17		Rejected!	
BIOCARTA_SALMONELLA_PATHWAY%MSIGDB_C2%BIOCARTA_SALMONELLA_PATHWAY	5		Rejected!	
PID_HNF3B_PATHWAY%MSIGDB_C2%PID_HNF3B_PATHWAY	38	18		
PID_IL4_2PATHWAY%MSIGDB_C2%PID_IL4_2PATHWAY	53	31		
PID_NCADHERIN_PATHWAY%MSIGDB_C2%PID_NCADHERIN_PATHWAY	31	27		
BIOCARTA_HIF_PATHWAY%MSIGDB_C2%BIOCARTA_HIF_PATHWAY	11		Rejected!	
PID_LYMPH_ANGIOGENESIS_PATHWAY%MSIGDB_C2%PID_LYMPH_ANGIOGENESIS_PATHWAY	22	21		
BIOCARTA_P35ALZHEIMERS_PATHWAY%MSIGDB_C2%BIOCARTA_P35ALZHEIMERS_PATHWAY	7		Rejected!	
PID_WNT_SIGNALING_PATHWAY%MSIGDB_C2%PID_WNT_SIGNALING_PATHWAY	24	18		
BIOCARTA_BARRESTIN_SRC_PATHWAY%MSIGDB_C2%BIOCARTA_BARRESTIN_SRC_PATHWAY	14		Rejected!	
PID_ALPHA_SYNUCLEIN_PATHWAY%MSIGDB_C2%PID_ALPHA_SYNUCLEIN_PATHWAY	27	15		
BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	22	21		
BIOCARTA_PDGF_PATHWAY%MSIGDB_C2%BIOCARTA_PDGF_PATHWAY	23	22		
BIOCARTA_GRANULOCYTES_PATHWAY%MSIGDB_C2%BIOCARTA_GRANULOCYTES_PATHWAY	11		Rejected!	
PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY	33	20		
BIOCARTA_BAD_PATHWAY%MSIGDB_C2%BIOCARTA_BAD_PATHWAY	19	16		
BIOCARTA_LYMPHOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_LYMPHOCYTE_PATHWAY	6		Rejected!	
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	38	35		
