NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
RESISTIN AS A REGULATOR OF INFLAMMATION%WIKIPATHWAYS_20250810%WP4481%HOMO SAPIENS	27	23		
IL19 SIGNALING%WIKIPATHWAYS_20250810%WP5422%HOMO SAPIENS	24	18		
TYROSINE METABOLISM AND RELATED DISORDERS%WIKIPATHWAYS_20250810%WP4506%HOMO SAPIENS	2		Rejected!	
T CELL RECEPTOR SIGNALING%WIKIPATHWAYS_20250810%WP69%HOMO SAPIENS	66	46		
IL3 SIGNALING%WIKIPATHWAYS_20250810%WP286%HOMO SAPIENS	43	32		
HYPOTHETICAL CRANIOFACIAL DEVELOPMENT PATHWAY%WIKIPATHWAYS_20250810%WP3655%HOMO SAPIENS	6		Rejected!	
MITOCHONDRIAL COMPLEX II ASSEMBLY%WIKIPATHWAYS_20250810%WP4920%HOMO SAPIENS	8		Rejected!	
GABA METABOLISM AKA GHB %WIKIPATHWAYS_20250810%WP4157%HOMO SAPIENS	9		Rejected!	
FAMILIAL HYPERLIPIDEMIA TYPE 5%WIKIPATHWAYS_20250810%WP5112%HOMO SAPIENS	11		Rejected!	
NAD METABOLISM%WIKIPATHWAYS_20250810%WP3644%HOMO SAPIENS	15		Rejected!	
3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4906%HOMO SAPIENS	52	40		
CYTOSINE METHYLATION%WIKIPATHWAYS_20250810%WP3585%HOMO SAPIENS	5		Rejected!	
STEROL REGULATORY ELEMENT BINDING PROTEINS SREBP SIGNALING%WIKIPATHWAYS_20250810%WP1982%HOMO SAPIENS	57	51		
PTF1A RELATED REGULATORY PATHWAY%WIKIPATHWAYS_20250810%WP4147%HOMO SAPIENS	11		Rejected!	
THYROXINE THYROID HORMONE PRODUCTION%WIKIPATHWAYS_20250810%WP1981%HOMO SAPIENS	21	15		
BIOTIN METABOLISM INCLUDING IMDS%WIKIPATHWAYS_20250810%WP5031%HOMO SAPIENS	9		Rejected!	
DNA DAMAGE RESPONSE ONLY ATM DEPENDENT %WIKIPATHWAYS_20250810%WP710%HOMO SAPIENS	90	75		
ACUTE VIRAL MYOCARDITIS%WIKIPATHWAYS_20250810%WP4298%HOMO SAPIENS	69	53		
TRYPTOPHAN CATABOLISM LEADING TO NAD PRODUCTION%WIKIPATHWAYS_20250810%WP4210%HOMO SAPIENS	16		Rejected!	
DISORDERS OF FRUCTOSE METABOLISM%WIKIPATHWAYS_20250810%WP5178%HOMO SAPIENS	11		Rejected!	
ERBB SIGNALING%WIKIPATHWAYS_20250810%WP673%HOMO SAPIENS	72	65		
MIR TARGETED GENES IN LYMPHOCYTES%WIKIPATHWAYS_20250810%WP2004%HOMO SAPIENS	351		Rejected!	
MIRNA ROLE IN IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20250810%WP4329%HOMO SAPIENS	33	23		
FOXP3 IN COVID 19%WIKIPATHWAYS_20250810%WP5063%HOMO SAPIENS	12		Rejected!	
GIP AND GLP 1 FUNCTION BY TISSUE%WIKIPATHWAYS_20250810%WP5509%HOMO SAPIENS	2		Rejected!	
SCFA AND SKELETAL MUSCLE SUBSTRATE METABOLISM%WIKIPATHWAYS_20250810%WP4030%HOMO SAPIENS	6		Rejected!	
HAIR FOLLICLE DEVELOPMENT CYTODIFFERENTIATION STAGE 3 OF 3%WIKIPATHWAYS_20250810%WP2840%HOMO SAPIENS	82	43		
ERK PATHWAY IN HUNTINGTON 39 S DISEASE%WIKIPATHWAYS_20250810%WP3853%HOMO SAPIENS	14		Rejected!	
LUNG PATHOLOGY OF COVID 19%WIKIPATHWAYS_20250810%WP5146%HOMO SAPIENS	19		Rejected!	
RALA DOWNSTREAM REGULATED GENES%WIKIPATHWAYS_20250810%WP2290%HOMO SAPIENS	11		Rejected!	
VITAMIN B6 DEPENDENT AND RESPONSIVE DISORDERS%WIKIPATHWAYS_20250810%WP4228%HOMO SAPIENS	7		Rejected!	
INTEGRATIVE ANALYSIS OF TREG GLIAL INTERACTIONS %WIKIPATHWAYS_20250810%WP5561%HOMO SAPIENS	94	58		
SUZETRIGINE MECHANISM FOR PAIN RELIEF%WIKIPATHWAYS_20250810%WP5558%HOMO SAPIENS	1		Rejected!	
NOVEL INTRACELLULAR COMPONENTS OF RIG I LIKE RECEPTOR PATHWAY%WIKIPATHWAYS_20250810%WP3865%HOMO SAPIENS	57	50		
CHOLESTEROL BIOSYNTHESIS PATHWAY IN HEPATOCYTES%WIKIPATHWAYS_20250810%WP5329%HOMO SAPIENS	37	34		
CLASSICAL PATHWAY OF STEROIDOGENESIS WITH GLUCOCORTICOID AND MINERALOCORTICOID METABOLISM%WIKIPATHWAYS_20250810%WP4523%HOMO SAPIENS	13		Rejected!	
TGF BETA SIGNALING IN THYROID CELLS FOR EPITHELIAL MESENCHYMAL TRANSITION%WIKIPATHWAYS_20250810%WP3859%HOMO SAPIENS	14		Rejected!	
NEUROTRANSMITTER DISORDERS%WIKIPATHWAYS_20250810%WP4220%HOMO SAPIENS	9		Rejected!	
GLYCOSYLPHOSPHATIDYL INOSITOL ANCHOR PATHWAY%WIKIPATHWAYS_20250810%WP5505%HOMO SAPIENS	24	23		
TYPE III INTERFERON SIGNALING%WIKIPATHWAYS_20250810%WP2113%HOMO SAPIENS	10		Rejected!	
NRF2 PATHWAY%WIKIPATHWAYS_20250810%WP2884%HOMO SAPIENS	117	71		
GROWTH FACTORS AND HORMONES IN BETA CELL PROLIFERATION%WIKIPATHWAYS_20250810%WP5385%HOMO SAPIENS	21	18		
ENDOCHONDRAL OSSIFICATION WITH SKELETAL DYSPLASIAS%WIKIPATHWAYS_20250810%WP4808%HOMO SAPIENS	52	44		
PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS FSGS %WIKIPATHWAYS_20250810%WP2572%HOMO SAPIENS	63	51		
MRNA PROCESSING%WIKIPATHWAYS_20250810%WP411%HOMO SAPIENS	101	93		
TRANSCRIPTIONAL CASCADE REGULATING ADIPOGENESIS%WIKIPATHWAYS_20250810%WP4211%HOMO SAPIENS	12		Rejected!	
CELLULAR PROTEOSTASIS%WIKIPATHWAYS_20250810%WP4918%HOMO SAPIENS	6		Rejected!	
NAD METABOLISM SIRTUINS AND AGING%WIKIPATHWAYS_20250810%WP3630%HOMO SAPIENS	11		Rejected!	
HUNGER AND SATIETY%WIKIPATHWAYS_20250810%WP5445%HOMO SAPIENS	8		Rejected!	
MIR TARGETED GENES IN SQUAMOUS CELL%WIKIPATHWAYS_20250810%WP2006%HOMO SAPIENS	110	103		
HEDGEHOG SIGNALING%WIKIPATHWAYS_20250810%WP4249%HOMO SAPIENS	35	29		
FAMILIAL HYPERLIPIDEMIA TYPE 1%WIKIPATHWAYS_20250810%WP5108%HOMO SAPIENS	14		Rejected!	
IL5 SIGNALING%WIKIPATHWAYS_20250810%WP127%HOMO SAPIENS	31	24		
TYPE II DIABETES MELLITUS%WIKIPATHWAYS_20250810%WP1584%HOMO SAPIENS	18		Rejected!	
MAPK SIGNALING AND ARTD FAMILY MEMBERS%WIKIPATHWAYS_20250810%WP5530%HOMO SAPIENS	29	28		
METASTATIC BRAIN TUMOR%WIKIPATHWAYS_20250810%WP2249%HOMO SAPIENS	5		Rejected!	
INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV 1 LTR%WIKIPATHWAYS_20250810%WP3414%HOMO SAPIENS	28	26		
APOE AND MIR 146 IN INFLAMMATION AND ATHEROSCLEROSIS%WIKIPATHWAYS_20250810%WP3926%HOMO SAPIENS	7		Rejected!	
CAMKK2 PATHWAY%WIKIPATHWAYS_20250810%WP4874%HOMO SAPIENS	93	68		
OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20250810%WP4879%HOMO SAPIENS	46	40		
OMEGA 3 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250810%WP5432%HOMO SAPIENS	24		Rejected!	
ECTODERM DIFFERENTIATION%WIKIPATHWAYS_20250810%WP2858%HOMO SAPIENS	121	95		
NUCLEAR RECEPTORS IN LIPID METABOLISM AND TOXICITY%WIKIPATHWAYS_20250810%WP299%HOMO SAPIENS	33		Rejected!	
OSTEOCLAST SIGNALING%WIKIPATHWAYS_20250810%WP12%HOMO SAPIENS	14		Rejected!	
GLYCEROLIPIDS AND GLYCEROPHOSPHOLIPIDS%WIKIPATHWAYS_20250810%WP4722%HOMO SAPIENS	20	19		
SARS COV 2 AND COVID 19 PATHWAY%WIKIPATHWAYS_20250810%WP4846%HOMO SAPIENS	10		Rejected!	
T CELL MODULATION AND DESMOPLASIA IN PANCREATIC CANCER%WIKIPATHWAYS_20250810%WP5078%HOMO SAPIENS	43	22		
KETOGENESIS AND KETOLYSIS%WIKIPATHWAYS_20250810%WP4742%HOMO SAPIENS	6		Rejected!	
PURINERGIC SIGNALING%WIKIPATHWAYS_20250810%WP4900%HOMO SAPIENS	29	15		
EICOSANOID METABOLISM VIA CYCLOOXYGENASES COX %WIKIPATHWAYS_20250810%WP4719%HOMO SAPIENS	26	16		
FIBROTIC RESPONSE OF TRABECULAR MESHWORK CELLS TO TGFB3 AND ENPP2 IN AQUEOUS HUMOR%WIKIPATHWAYS_20250810%WP5545%HOMO SAPIENS	11		Rejected!	
FGFR4 P G388R SIGNALING%WIKIPATHWAYS_20250810%WP5428%HOMO SAPIENS	3		Rejected!	
MULTIPLE EPIPHYSEAL DYSPLASIA AND PSEUDOACHONDROPLASIA GENES%WIKIPATHWAYS_20250810%WP4789%HOMO SAPIENS	6		Rejected!	
GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20250810%WP4823%HOMO SAPIENS	41	27		
VITAMIN A1 AND A5 X PATHWAYS%WIKIPATHWAYS_20250810%WP5397%HOMO SAPIENS	6		Rejected!	
HIPPO MERLIN SIGNALING DYSREGULATION%WIKIPATHWAYS_20250810%WP4541%HOMO SAPIENS	86	67		
FAMILIAL HYPERLIPIDEMIA TYPE 4%WIKIPATHWAYS_20250810%WP5111%HOMO SAPIENS	18		Rejected!	
VITAMIN A AND CAROTENOID METABOLISM%WIKIPATHWAYS_20250810%WP716%HOMO SAPIENS	42	19		
CARDIOMYOCYTE SIGNALING CONVERGING ON TITIN%WIKIPATHWAYS_20250810%WP5344%HOMO SAPIENS	28	23		
GABA RECEPTOR SIGNALING%WIKIPATHWAYS_20250810%WP4159%HOMO SAPIENS	28		Rejected!	
PROSTAGLANDIN SIGNALING%WIKIPATHWAYS_20250810%WP5088%HOMO SAPIENS	29	15		
MITOCHONDRIAL FATTY ACID SYNTHESIS PATHWAY%WIKIPATHWAYS_20250810%WP4317%HOMO SAPIENS	6		Rejected!	
AUTOPHAGY%WIKIPATHWAYS_20250810%WP4923%HOMO SAPIENS	26	25		
NUCLEAR RECEPTORS%WIKIPATHWAYS_20250810%WP170%HOMO SAPIENS	34	17		
MOLYBDENUM COFACTOR MOCO BIOSYNTHESIS%WIKIPATHWAYS_20250810%WP4507%HOMO SAPIENS	7		Rejected!	
HLA C ALLOTYPES INTERACTIONS WITH KIR ON DNK CELLS%WIKIPATHWAYS_20250810%WP5580%HOMO SAPIENS	20		Rejected!	
SELECTIVE EXPRESSION OF CHEMOKINE RECEPTORS DURING T CELL POLARIZATION%WIKIPATHWAYS_20250810%WP4494%HOMO SAPIENS	23		Rejected!	
COVID 19 THROMBOSIS AND ANTICOAGULATION%WIKIPATHWAYS_20250810%WP4927%HOMO SAPIENS	6		Rejected!	
GENE REGULATORY NETWORK MODELING SOMITOGENESIS %WIKIPATHWAYS_20250810%WP2854%HOMO SAPIENS	10		Rejected!	
NRP1 TRIGGERED SIGNALING IN PANCREATIC CANCER %WIKIPATHWAYS_20250810%WP5144%HOMO SAPIENS	43	39		
PATHOPHYSIOLOGICAL ROLES OF DUX4 IN FSHD1%WIKIPATHWAYS_20250810%WP5342%HOMO SAPIENS	17		Rejected!	
TP53 NETWORK%WIKIPATHWAYS_20250810%WP1742%HOMO SAPIENS	16		Rejected!	
JOUBERT SYNDROME%WIKIPATHWAYS_20250810%WP4656%HOMO SAPIENS	66	59		
PSORIASIS MECHANISM AND THERAPIES%WIKIPATHWAYS_20250810%WP5537%HOMO SAPIENS	17		Rejected!	
MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20250810%WP1544%HOMO SAPIENS	74	63		
REGULATORY CIRCUITS OF STAT3 SIGNALING%WIKIPATHWAYS_20250810%WP4538%HOMO SAPIENS	71	53		
REGULATION OF WNT B CATENIN SIGNALING BY SMALL MOLECULE COMPOUNDS%WIKIPATHWAYS_20250810%WP3664%HOMO SAPIENS	16		Rejected!	
MRNA VACCINE ACTIVATION OF DENDRITIC CELL AND INDUCTION OF IFN 1%WIKIPATHWAYS_20250810%WP5187%HOMO SAPIENS	10		Rejected!	
IL26 SIGNALING%WIKIPATHWAYS_20250810%WP5347%HOMO SAPIENS	42	28		
NON HOMOLOGOUS END JOINING%WIKIPATHWAYS_20250810%WP438%HOMO SAPIENS	6		Rejected!	
HIPPO SIGNALING REGULATION%WIKIPATHWAYS_20250810%WP4540%HOMO SAPIENS	76	61		
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20250810%WP3941%HOMO SAPIENS	37	29		
TRYPTOPHAN METABOLISM%WIKIPATHWAYS_20250810%WP465%HOMO SAPIENS	30	17		
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20250810%WP5095%HOMO SAPIENS	124	31		
IRON METABOLISM DISORDERS%WIKIPATHWAYS_20250810%WP5172%HOMO SAPIENS	16		Rejected!	
IMMUNE INFILTRATION IN PANCREATIC CANCER%WIKIPATHWAYS_20250810%WP5285%HOMO SAPIENS	35		Rejected!	
EGF EGFR SIGNALING%WIKIPATHWAYS_20250810%WP437%HOMO SAPIENS	124	110		
CANNABINOID RECEPTOR SIGNALING%WIKIPATHWAYS_20250810%WP3869%HOMO SAPIENS	25	17		
CELL LINEAGE MAP FOR NEURONAL DIFFERENTIATION%WIKIPATHWAYS_20250810%WP5417%HOMO SAPIENS	118	61		
ATM SIGNALING IN DEVELOPMENT AND DISEASE %WIKIPATHWAYS_20250810%WP3878%HOMO SAPIENS	40	37		
COHESIN COMPLEX CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20250810%WP5117%HOMO SAPIENS	32	28		
ACRYLAMIDE BIOTRANSFORMATION AND EXPOSURE BIOMARKERS%WIKIPATHWAYS_20250810%WP4233%HOMO SAPIENS	1		Rejected!	
FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20250810%WP143%HOMO SAPIENS	27	21		
REGULATION OF CYTOTOXIC T CELL RESPONSES BY MALAT1 MIR 15 16 CIRCUIT %WIKIPATHWAYS_20250810%WP5489%HOMO SAPIENS	8		Rejected!	
CHOLESTASIS%WIKIPATHWAYS_20250810%WP5238%HOMO SAPIENS	16		Rejected!	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20250810%WP619%HOMO SAPIENS	31	19		
WNT SIGNALING IN KIDNEY DISEASE%WIKIPATHWAYS_20250810%WP4150%HOMO SAPIENS	31	24		
CORI CYCLE%WIKIPATHWAYS_20250810%WP1946%HOMO SAPIENS	11		Rejected!	
7 OXO C AND 7 BETA HC PATHWAYS%WIKIPATHWAYS_20250810%WP5064%HOMO SAPIENS	23	17		
METABOLIC EPILEPTIC DISORDERS%WIKIPATHWAYS_20250810%WP5355%HOMO SAPIENS	78	53		
CONTROL OF IMMUNE TOLERANCE BY VASOACTIVE INTESTINAL PEPTIDE%WIKIPATHWAYS_20250810%WP4484%HOMO SAPIENS	11		Rejected!	
HEMESYNTHESIS DEFECTS AND PORPHYRIAS%WIKIPATHWAYS_20250810%WP5169%HOMO SAPIENS	7		Rejected!	
HYPOTHESIZED PATHWAYS IN PATHOGENESIS OF CARDIOVASCULAR DISEASE%WIKIPATHWAYS_20250810%WP3668%HOMO SAPIENS	23	21		
WARBURG EFFECT MODULATED BY DEUBIQUITINATING ENZYMES AND THEIR SUBSTRATES%WIKIPATHWAYS_20250810%WP5216%HOMO SAPIENS	23	19		
NUCLEAR RECEPTORS META PATHWAY%WIKIPATHWAYS_20250810%WP2882%HOMO SAPIENS	270	175		
DOPAMINERGIC NEUROGENESIS%WIKIPATHWAYS_20250810%WP2855%HOMO SAPIENS	27		Rejected!	
AMPK REGULATION OF MAMMARY MILK PROTEIN SYNTHESIS%WIKIPATHWAYS_20250810%WP5492%HOMO SAPIENS	20	17		
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20250810%WP4216%HOMO SAPIENS	63	59		
ALTERNATIVE PATHWAY OF FETAL ANDROGEN SYNTHESIS%WIKIPATHWAYS_20250810%WP4524%HOMO SAPIENS	10		Rejected!	
TGF BETA RECEPTOR SIGNALING%WIKIPATHWAYS_20250810%WP560%HOMO SAPIENS	50	41		
NON CLASSICAL ROLE OF VITAMIN D%WIKIPATHWAYS_20250810%WP5133%HOMO SAPIENS	6		Rejected!	
CELL INTERACTIONS IN PANCREATIC CANCER MICROENVIRONMENT%WIKIPATHWAYS_20250810%WP5284%HOMO SAPIENS	25		Rejected!	
PKC GAMMA CALCIUM SIGNALING IN ATAXIA%WIKIPATHWAYS_20250810%WP4760%HOMO SAPIENS	15		Rejected!	
NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20250810%WP4753%HOMO SAPIENS	33	32		
6Q16 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5400%HOMO SAPIENS	13		Rejected!	
AMINO ACID TRANSPORT DEFECTS IEMS %WIKIPATHWAYS_20250810%WP5029%HOMO SAPIENS	9		Rejected!	
COPPER METABOLISM%WIKIPATHWAYS_20250810%WP5189%HOMO SAPIENS	4		Rejected!	
DEREGULATION OF RAB AND RAB EFFECTOR GENES IN BLADDER CANCER%WIKIPATHWAYS_20250810%WP2291%HOMO SAPIENS	12		Rejected!	
HIF1A AND PPARG IN HYPERTROPHIC CARDIOMYOPATHY%WIKIPATHWAYS_20250810%WP2456%HOMO SAPIENS	8		Rejected!	
STEROID BIOSYNTHESIS%WIKIPATHWAYS_20250810%WP496%HOMO SAPIENS	10		Rejected!	
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20250810%WP623%HOMO SAPIENS	54	40		
BILE ACID SYNTHESIS AND ENTEROHEPATIC CIRCULATION %WIKIPATHWAYS_20250810%WP4389%HOMO SAPIENS	11		Rejected!	
GANGLIO SPHINGOLIPID METABOLISM%WIKIPATHWAYS_20250810%WP1423%HOMO SAPIENS	11		Rejected!	
INTERACTIONS OF NATURAL KILLER CELLS IN PANCREATIC CANCER%WIKIPATHWAYS_20250810%WP5092%HOMO SAPIENS	25		Rejected!	
TGF BETA RECEPTOR SIGNALING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20250810%WP4816%HOMO SAPIENS	53	43		
TRANSCRIPTION FACTORS REGULATE MIRNAS RELATED TO CARDIAC HYPERTROPHY%WIKIPATHWAYS_20250810%WP1559%HOMO SAPIENS	6		Rejected!	
SPHINGOLIPID METABOLISM INTEGRATED PATHWAY%WIKIPATHWAYS_20250810%WP4726%HOMO SAPIENS	24	20		
SMALL LIGAND GPCRS%WIKIPATHWAYS_20250810%WP247%HOMO SAPIENS	18		Rejected!	
LAC PHE PATHWAY%WIKIPATHWAYS_20250810%WP5239%HOMO SAPIENS	2		Rejected!	
CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH RUSSELL PATHWAYS%WIKIPATHWAYS_20250810%WP4718%HOMO SAPIENS	42	39		
GLIOBLASTOMA SIGNALING%WIKIPATHWAYS_20250810%WP2261%HOMO SAPIENS	71	67		
HINT1 PATHWAY%WIKIPATHWAYS_20250810%WP5523%HOMO SAPIENS	21	19		
HOST PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES AUTOPHAGY%WIKIPATHWAYS_20250810%WP4863%HOMO SAPIENS	14		Rejected!	
TARGETED AGENTS IN TRIPLE NEGATIVE BREAST CANCER%WIKIPATHWAYS_20250810%WP5215%HOMO SAPIENS	32	32		
FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING%WIKIPATHWAYS_20250810%WP4136%HOMO SAPIENS	38	24		
VITAMIN K METABOLISM AND ACTIVATION OF DEPENDENT PROTEINS%WIKIPATHWAYS_20250810%WP5186%HOMO SAPIENS	12		Rejected!	
PHOSPHODIESTERASES IN NEURONAL FUNCTION%WIKIPATHWAYS_20250810%WP4222%HOMO SAPIENS	40	24		
OSTEOPONTIN SIGNALING%WIKIPATHWAYS_20250810%WP1434%HOMO SAPIENS	12		Rejected!	
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5345%HOMO SAPIENS	91	69		
GPR143 IN MELANOCYTES AND RETINAL PIGMENT EPITHELIUM CELLS%WIKIPATHWAYS_20250810%WP4941%HOMO SAPIENS	20		Rejected!	
SOLUBLE ACE2 MEDIATED CELL ENTRY OF SARS COV 2%WIKIPATHWAYS_20250810%WP5076%HOMO SAPIENS	4		Rejected!	
NOD LIKE RECEPTOR NLR SIGNALING%WIKIPATHWAYS_20250810%WP288%HOMO SAPIENS	8		Rejected!	
METABOLISM OF ALPHA LINOLENIC ACID%WIKIPATHWAYS_20250810%WP4586%HOMO SAPIENS	6		Rejected!	
HEME BIOSYNTHESIS%WIKIPATHWAYS_20250810%WP561%HOMO SAPIENS	7		Rejected!	
HSPB3 IN CHARCOT MARIE TOOTH DISEASE%WIKIPATHWAYS_20250810%WP5524%HOMO SAPIENS	14		Rejected!	
15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5407%HOMO SAPIENS	49	29		
INCLUSION BODY MYOSITIS%WIKIPATHWAYS_20250810%WP5120%HOMO SAPIENS	9		Rejected!	
SEROTONIN RECEPTOR 4 6 7 AND NR3C SIGNALING%WIKIPATHWAYS_20250810%WP734%HOMO SAPIENS	16		Rejected!	
CELL CYCLE%WIKIPATHWAYS_20250810%WP179%HOMO SAPIENS	99	91		
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20250810%WP206%HOMO SAPIENS	14		Rejected!	
DEGRADATION PATHWAY OF SPHINGOLIPIDS INCLUDING DISEASES%WIKIPATHWAYS_20250810%WP4153%HOMO SAPIENS	14		Rejected!	
HYPOXIA MEDIATED EMT AND STEMNESS%WIKIPATHWAYS_20250810%WP2943%HOMO SAPIENS	1		Rejected!	
22Q11 2 DISTAL CNV%WIKIPATHWAYS_20250810%WP5546%HOMO SAPIENS	121	102		
COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20250810%WP2636%HOMO SAPIENS	31	20		
EPAC1 AND PKA REDUCTION OF RETINAL INFLAMMATION%WIKIPATHWAYS_20250810%WP5440%HOMO SAPIENS	4		Rejected!	
MECHANOREGULATION AND PATHOLOGY OF YAP TAZ VIA HIPPO AND NON HIPPO MECHANISMS%WIKIPATHWAYS_20250810%WP4534%HOMO SAPIENS	35	29		
HFE EFFECT ON HEPCIDIN PRODUCTION%WIKIPATHWAYS_20250810%WP3924%HOMO SAPIENS	6		Rejected!	
TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20250810%WP4786%HOMO SAPIENS	27	22		
TNF RELATED WEAK INDUCER OF APOPTOSIS TWEAK SIGNALING%WIKIPATHWAYS_20250810%WP2036%HOMO SAPIENS	35	33		
ENTEROCYTE CHOLESTEROL METABOLISM%WIKIPATHWAYS_20250810%WP5333%HOMO SAPIENS	33	27		
ASPIRIN AND MIRNAS%WIKIPATHWAYS_20250810%WP4707%HOMO SAPIENS	7		Rejected!	
DISORDERS IN KETOLYSIS%WIKIPATHWAYS_20250810%WP5195%HOMO SAPIENS	5		Rejected!	
PHOTODYNAMIC THERAPY INDUCED AP 1 SURVIVAL SIGNALING%WIKIPATHWAYS_20250810%WP3611%HOMO SAPIENS	43	39		
ADHD AND AUTISM ASD PATHWAYS%WIKIPATHWAYS_20250810%WP5420%HOMO SAPIENS	304	178		
PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20250810%WP2272%HOMO SAPIENS	47	36		
FOCAL ADHESION%WIKIPATHWAYS_20250810%WP306%HOMO SAPIENS	163	134		
HIPPO YAP SIGNALING%WIKIPATHWAYS_20250810%WP4537%HOMO SAPIENS	16		Rejected!	
17P13 3 YWHAE COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5376%HOMO SAPIENS	20	15		
IL1 SIGNALING%WIKIPATHWAYS_20250810%WP195%HOMO SAPIENS	47	41		
EFFECT OF DASATINIB ON THE BCR ABL SIGNALING PATHWAY%WIKIPATHWAYS_20250810%WP5493%HOMO SAPIENS	40	37		
BIOMARKERS FOR UREA CYCLE DISORDERS%WIKIPATHWAYS_20250810%WP4583%HOMO SAPIENS	10		Rejected!	
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20250810%WP391%HOMO SAPIENS	19	19		
DRAVET SYNDROME%WIKIPATHWAYS_20250810%WP5200%HOMO SAPIENS	27	21		
AUTOSOMAL RECESSIVE OSTEOPETROSIS PATHWAYS%WIKIPATHWAYS_20250810%WP4788%HOMO SAPIENS	11		Rejected!	
PANCREATIC CANCER SUBTYPES%WIKIPATHWAYS_20250810%WP5390%HOMO SAPIENS	41		Rejected!	
GLYCINE METABOLISM%WIKIPATHWAYS_20250810%WP1495%HOMO SAPIENS	2		Rejected!	
TGIF DISRUPTION OF SHH SIGNALING%WIKIPATHWAYS_20250810%WP3674%HOMO SAPIENS	9		Rejected!	
PI3K AKT MTOR SIGNALING AND THERAPEUTIC OPPORTUNITIES IN PROSTATE CANCER%WIKIPATHWAYS_20250810%WP3844%HOMO SAPIENS	26	24		
IL1 AND MEGAKARYOCYTES IN OBESITY%WIKIPATHWAYS_20250810%WP2865%HOMO SAPIENS	21		Rejected!	
THYMIC STROMAL LYMPHOPOIETIN TSLP SIGNALING%WIKIPATHWAYS_20250810%WP2203%HOMO SAPIENS	32	29		
FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY METABOLISM%WIKIPATHWAYS_20250810%WP5318%HOMO SAPIENS	10		Rejected!	
ESTROGEN SIGNALING%WIKIPATHWAYS_20250810%WP712%HOMO SAPIENS	19	17		
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20250810%WP2118%HOMO SAPIENS	62	46		
MTHFR DEFICIENCY%WIKIPATHWAYS_20250810%WP4288%HOMO SAPIENS	14		Rejected!	
PRO SURVIVAL SIGNALING OF NEUROPROTECTIN D1%WIKIPATHWAYS_20250810%WP5182%HOMO SAPIENS	13		Rejected!	
PARKINSON 39 S DISEASE PATHWAY%WIKIPATHWAYS_20250810%WP2371%HOMO SAPIENS	36	27		
MODULATION OF PI3K AKT MTOR SIGNALING BY BIOACTIVE SPHINGOLIPIDS%WIKIPATHWAYS_20250810%WP5192%HOMO SAPIENS	12		Rejected!	
FANCONI ANEMIA%WIKIPATHWAYS_20250810%WP5465%HOMO SAPIENS	42	39		
IRINOTECAN PATHWAY%WIKIPATHWAYS_20250810%WP229%HOMO SAPIENS	11		Rejected!	
COMPLEMENT MEDIATED INFLAMMATION OF PULMONARY ALVEOLUS IN COVID 19 HYPOTHETICAL PATHWAY %WIKIPATHWAYS_20250810%WP5148%HOMO SAPIENS	11		Rejected!	
N GLYCAN BIOSYNTHESIS%WIKIPATHWAYS_20250810%WP5153%HOMO SAPIENS	50	44		
