"__mclCluster","EnrichmentMap::-log10(pvalue) (A2_enrichment)","EnrichmentMap::-log10(pvalue)*sign(NES) (A2_enrichment)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (A2_enrichment)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (A2_enrichment)","EnrichmentMap::fdr_qvalue (A2_enrichment)","EnrichmentMap::fwer_qvalue (A2_enrichment)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (A2_enrichment)","EnrichmentMap::pvalue (A2_enrichment)","name","selected","shared name"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7702","3.0E-4","0.004","FDFT1|FDPS|HMGCS1|CYP51A1|PPARA|NCOA6|LSS|SCD|ACACA|GGPS1|DHCR7|TBL1XR1|TBL1X|ELOVL6|IDI1|NCOA2|SP1|RXRA|MED1|CARM1|NFYC|SMARCD3|TM7SF2|ACACB|SC5D|FASN|SREBF2|NFYA|NFYB|MVD|CHD9|MTF1|MVK|GPAM|TGS1|NCOA1|SQLE|PMVK|CREBBP|HELZ2","Activation of gene expression by SREBF (SREBP)","40","ENR","ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5","2.2356","0.0","ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5","false","ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5"
,"2.4814860601221125","2.4814860601221125","2.4814860601221125","0.9967","1","0.751","0.0471","1.0","FOS|FKBP1A|POU2F1|IL2RA|NFATC1|CABIN1|PPP3CA|JUN|FOSL1|RCAN1|BATF3|IL4|IL3|IL2|CD40LG|TNFSF6|CSF2|NFATC2|NFATC3|AKAP5|PPP3R1|CHP1|IFNG|JUNB|PTGS2","PID_TCR_CALCIUM_PATHWAY","25","ENR","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY","1.8093","0.0033","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY","false","PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY"
"4","2.853871964321762","2.853871964321762","2.853871964321762","0.9986","1","0.6051","0.033","0.997","ACSL3|SCARB1|SLC27A1|PLAA|PLIN5|HTR2B|STAR|HTR2C|HTR2A|KAT2B|MLST8|APOA5|SLC45A3|SORBS1|APOC2|MAPK1|CD74|BMP6|PCK1|NR1H2|NR1H3|KPNB1|SPHK2|FSHB|IL1B|NR1H4|ABCD1|LPGAT1|KAT5|MID1IP1|EDN2|APOE|ABCG1|MFSD2A|INS|CGA|EDN1|PLA2G3|PLA2G6|FGF1|CHP1|HSD17B13|PRKCD|SCAP|ADM|PTGS2|PAQR3|ELOVL5|LDLR|SREBF1|WNT4|PPARA|PRKAA1|ABCD2|GPIHBP1|SIRT2|ENPP7|PRKACA|AKT1|FABP3|MTOR|RPTOR|MLXIPL|MBTPS2|NR1D1|NR5A2|CREB1|TNF|CREBL2|CTDNEP1|CNEP1R1|ZBTB20|GNAI1|STARD4|APOA4|GPLD1|SREBF2|IFNG|SIRT4|SIRT3","positive regulation of lipid biosynthetic process","80","ENR","POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046889","1.8594","0.0014","POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046889","false","POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046889"
,"2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5676","0.0424","1.0","RB1|CTNNB1|SPOCK1|RORA|SCD|ASIP|GTF3A|ADFP|AHR|PCK1|BMP4|PPARGC1A|GATA4|MEF2C|HIF1A|DDIT3|MBNL1|CFD|RXRG|LPIN2|TRIB3|BSCL2|TWIST1|KLF7|NR1C1|GATA3|SFRP4|MEF2B|NR2F1|SOCS1|FRZB|DVL1|CISD1|PTGIS|TGFB1|GADD45A|IRS4|LIF|BMP2|PLIN1|GH1|LPIN3|SP1|LPIN1|MIF|TNF|MEF2D|CDKN1A|OSM|KLF5|NAMPT|WWTR1|SLC2A4|CELF1|CEBPB|IL6ST|KLF15|SOCS3|EGR2|ID3|CEBPA|MIXL1|STAT2|STAT1|NR1H3|STAT3|RXRA|PNPLA3|RARA|FOXO1|INS|RBL2|PCK2|PRLR|LMNA|HNF1A|FAS|WNT10B|GADD45B|HMGA1|NCOA1|CEBPD|IL6|BMP1|UCP1|IGF1|BMP3|CYP26A1|NCOR1|GATA2|NDN|KLF6|GDF10|RBL1|STAT5B|CNTFR|RETN|CREB1|NR1C2|E2F4|IRS1|ZMPSTE24|WNT1|NR3C1|PPARG|FZD1|WNT5B|FOXC2|CYP26B1|LPL|LEP|NCOR2","Adipogenesis","112","ENR","ADIPOGENESIS%WIKIPATHWAYS_20250810%WP236%HOMO SAPIENS","1.8263","0.0","ADIPOGENESIS%WIKIPATHWAYS_20250810%WP236%HOMO SAPIENS","false","ADIPOGENESIS%WIKIPATHWAYS_20250810%WP236%HOMO SAPIENS"
"4","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6805","0.0","0.0","SCARB1|SLC27A1|ABCA2|PLAA|GFI1|PLIN5|INSIG1|CES1|KAT2B|NME1|APOA5|SLC45A3|SORBS1|BMP5|BMP6|PCK1|AQP8|FBXW7|CLCN2|ABCD1|MID1IP1|NR5A1|ERLIN2|PAQR4|THRSP|EDN2|APOE|CYP7A1|FANCD2OS|TRIB3|H6PD|ACADVL|CHP1|GPRC6A|PDGFA|ADM|ACADL|BGLAP|FGFR4|ELOVL5|SREBF1|WNT4|DKKL1|SIRT1|PPARA|PRKAA1|ERLIN1|C3|GPIHBP1|SIRT2|DGKQ|PRKACA|AKT1|FABP3|DKK3|BMP2|MTOR|RPTOR|MBTPS1|MBTPS2|NR1D1|SEC14L2|TNF|CREBL2|CTDNEP1|AKR1C3|CNEP1R1|ZBTB20|APOA4|GPLD1|IFNG|SIRT4|SIRT3|SNAI1|ASXL3|KLHL25|SPHK1|ACSL3|SIK1|UBR4|FGF19|HTR2B|STAR|HTR2C|DCAF5|HTR2A|BRCA1|MLST8|EGR1|APOC3|APOC2|NFKB1|MAPK1|CD74|NR1H2|NR1H3|PDGFB|KPNB1|SPHK2|FSHB|WDTC1|IL1B|EIF6|GPER1|APOC1|NR1H4|KIF12|LPGAT1|KAT5|TMX1|COP1|ABCG1|MFSD2A|INS|CGA|CHLSN|EDN1|GPR146|PLA2G3|PIBF1|CEACAM1|PLA2G6|FGF1|HSD17B13|PRKCD|SCAP|PTGS2|REST|PAQR3|ANGPTL4|ORMDL1|LDLR|SNAI2|SAMD8|ABCD2|ORMDL2|ORMDL3|ENPP7|PRMT3|MLXIPL|PROX1|ASAH1|NR5A2|CREB1|MARCHF6|AVIL|GNAI1|STARD4|SREBF2|NR0B1|PDK4|LPCAT3","regulation of lipid biosynthetic process","152","ENR","REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890","2.2953","0.0","REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890","false","REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046890"
"2","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.5094","0.0205","0.446","RPS4X|RPS15|RPL5|RPL7A|RPS17|RPS16|RPL18A|RPS18|RPLP2|RPL23|RPL35|RPL38|RPL37|RPL21|RPS7|RPS8|RPL13A|RPL9P9|RPL37A|RPL24|RPL27|RPSA|RPL36|RPL4|RPL8|RPS12|RPS11|RPS13|RPL18|RPS3|RPL14|RPS2|RPS14|QARS1|RPS19|RPL34|RPL6|RPL39|RPS9|RPS10|RPS5|RPL22|RPS6|RPL30|RPL26|RPL29|RPL28|UBA52|RPL10|RPL12|RPL36A|RPS15A|RPL13|RPL15|RPL17|RPL19|RPL41|RPL35A|RPL23A|RPS26|RPS25|RPL11|RPS28|RPS27|RPLP0|RPS29|RPS3A|RPL27A|RPS20|FAU|RPS21|RPS24|RPS23|RPL3|RACK1|RPL32|RPL31|RPLP1|RPL10A|RPL7","Protein Synthesis: Glutamine","80","ENR","PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862","-1.9613","0.0","PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862","false","PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862"
"5","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5755","0.0322","0.997","BDH2|ECI2|PHYH|ACOT8|CPT1A|ILVBL|HAO1|MTLN|ACOX2|ABCD4|PCK1|AGXT2|SCP2|AMACR|GCDH|ABCD3|ABCD1|AGXT|CYP26C1|CYP4F12|DECR1|LPIN2|HADH|CPT1B|PEX13|ACADVL|HADHA|ACAA2|NUDT19|MCEE|PEX2|CPT2|ACADL|SLC25A17|LDHB|ACADM|ACADS|PCCA|PCCB|NUDT7|ACOXL|PPARD|HADHB|ACOX1|LDHD|EHHADH|ACAA1|DECR2|ECHS1|ETFDH|HSD17B4|HACL1|FAH|ACBD5|HSD17B10|AKR1A1|AIG1|LPIN3|GLYATL2|LPIN1|CRAT|NUDT8|PLA2G15|DCXR|AUH|LDHA|FAAH|IVD|ECHDC2|ABHD1|ECHDC1|PCK2|XYLB|ABHD3|HOGA1|CYP4F2|CYP26A1|ETFB|ABCD2|CROT|SLC27A2|LDHC|ABHD2|LDHAL6B|ACOX3|ACOT7|LDHAL6A|MCAT|ACOT7L|ECI1|ADIPOQ|ACAD11|ACAD10|CYP2W1|ADTRP|ETFA|CYP26B1","monocarboxylic acid catabolic process","97","ENR","MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329","1.8618","0.0","MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329","false","MONOCARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0072329"
"29","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6748","0.0194","0.952","FADD|TNIK|CYLD|NRK|SMPD2|RFFL|CASP8|TNFRSF1B|SMPD1|MAP3K5|NFKB1|RIPK1|CHUK|TNFAIP3|STAT1|MAP3K7IP1|BIRC3|TNF|NSMAF|IKBKB|MAP3K7|MAP2K3|PRKCZ|RELA|PRKCI|MAP4K3|MADD|TRAF2|MAP3K1|HEL-S-31|TRAF1|TNFRSF1A|BAG4|BIRC2|IKBKG|SQSTM1|TRADD|ADAM17|MAP4K2|TXN","PID_TNF_PATHWAY","40","ENR","PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY","1.9142","0.0","PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY","false","PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY"
"19","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6165","0.0101","0.672","CEBPB|YIF1A|IGFBP1|GFPT1|CREBRF|TPP1|EIF2S2|KLHDC3|HDGF|CALR|EIF2S3|HERPUD1|MYDGF|DDX11|DCSTAMP|CTDSP2|CUL7|EXTL2|PPP2R5B|PREB|EXTL1|EXTL3|SULT1A3|TSPYL2|SYVN1|DNAJC3|NFYC|EXOSC8|PDIA6|DDIT3|DNAJB11|ADD1|DIS3|HSPA5|LMNA|PARN|ATF3|EXOSC7|EXOSC6|EXOSC9|EXOSC3|EXOSC2|ARFGAP1|ACADVL|GSK3A|ATF6|HSP90B1|TATDN2|KHSRP|CCL2|CREB3L3|CREB3L4|PDIA5|ERN1|CREB3L1|ATP6V0D1|CREB3L2|CREB3|ATF4|SHC1|CXCL8|EIF2AK3|SSR1|PLA2G4B|SEC31A|EDEM1|ATF6B|ASNS|SRPRA|SRPRB|HYOU1|MBTPS1|MBTPS2|FKBP14|ZBTB17|SERP1|WIPI1|DCP2|WFS1|EIF2S1|DNAJB9|DCTN1|GOSR2|CEBPG|CXXC1|KDELR3|EXOSC5|EXOSC4|EXOSC1|NFYA|TLN1|NFYB","Unfolded Protein Response (UPR)","92","ENR","UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 93%381119","1.9802","0.0","UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 93%381119","false","UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 93%381119"
,"2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5972","0.0221","0.97","CTNNB1|SMAD6|RPS6KA5|FOS|SRC|TJP1|SOCS3|ACACA|EGR1|MAPK9|RPS6KA4|MAPK8|VEGFA|MAPK1|HEL-S-133P|CSF3|NFKB1|HEL-S-102|CPT1A|PCNA|PLCG1|MST1R|SMAD2|PIK3R1|PPARGC1A|SIX1|IL1B|HEL113|CLDN1|KLK15|SMAD9|GRB2|CXCL2|HK2|GSK3B|RELA|CDH2|IFNB1|WNT10B|PARP1|IL6|COL4A1|PDPK1|IBSP|SOCS1|SP7|BGLAP|IL10|CCL2|MAPK3|SNAI2|ITGB1|JUN|SHC1|CXCL8|TGFB1|ZEB2|CXCL1|CLDN5|KDR|RPS6KB1|CXCL5|RPS6|PTEN|FLT1|MAP2K1|MTOR|CRKL|MAP2K2|RPS6KA3|SLPI|RPS6KA1|TNF|CSF2|PRKCB|ACTA2|PDGFRA|MMP9|IGF1R|NR0B2|FZD1|MAPK14|DKFZP781O1323|RAF1|FGFR1|SMAD1|PRKAA2","Macrophage stimulating protein MSP signaling","87","ENR","MACROPHAGE STIMULATING PROTEIN MSP SIGNALING%WIKIPATHWAYS_20250810%WP5353%HOMO SAPIENS","1.9012","0.0","MACROPHAGE STIMULATING PROTEIN MSP SIGNALING%WIKIPATHWAYS_20250810%WP5353%HOMO SAPIENS","false","MACROPHAGE STIMULATING PROTEIN MSP SIGNALING%WIKIPATHWAYS_20250810%WP5353%HOMO SAPIENS"
"5","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.621","0.0145","0.857","PNLIPRP3|ACSM3|GSTM2|CYP2E1|LIPG|SCD|CTHRC1|MLYCD|ELOVL4|ACLY|GSTM4|DAGLB|ALOX15|ABCD3|ABCD1|SCD5|PNPLA8|ACSM1|CYP2C8|FASN|HSD17B12|CYP1A1|PTGES2|PLA2G4A|LIAS|FADS3|ELOVL5|ELOVL3|ACSM2B|PTGS1|PTGIS|ALOX5|DECR2|GSTP1|LTC4S|ACSM5|ALOX15B|ACSM4|DEGS1|THNSL2|ACSM2A|ALOX12|MIF|PTGDS|CBR1|AKR1C3|PRXL2B|TBXAS1|ACACB|HACD4|HTD2|ELOVL1|OLAH|FADS1|GSTM1|ELOVL7|TECRL|ALOXE3|ACSF3|OXSM|ACSBG1|ACSBG2|HACD1|TECR|HACD3|ACACA|HACD2|HSD17B8|PLA2G1B|GPX4|CD74|CBR4|ABHD1|PNLIP|CYP2C9|CYP3A4|ASAH2|ABHD3|CYP2D6|ALOX12B|PTGS2|CYP1A2|PTGES|ELOVL6|ABHD2|LIPC|ACOT7|MCAT|XBP1|ACSM6|FADS2|PTGES3|PNLIPRP1|PNLIPRP2|LPL|NDUFAB1|ELOVL2","fatty acid biosynthetic process","97","ENR","FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006633","1.9449","0.0","FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006633","false","FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006633"
,"2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6399","0.0119","0.755","CTNNB1|MMP1|MT2A|FOS|ACTA1|NFATC1|EGR1|ETS1|ATF2|FOSL2|COPS5|FOSL1|IL4|HIF1A|NPPA|EP300|CDKN2A|CDKN1B|GJA1|EDN1|ATF3|CDK1|NFATC2|ELF1|NFATC3|TP53|HLA-A|TH|BCL2L11|MYB|DMTF1|IL6|AGT|MAF|COL1A2|CCL2|PENK|IL10|DMP1|GATA2|JUN|CXCL8|TGFB1|FOSB|PTEN|IL2|CRTC1|CBFB|TIMP1|NTS|SP1|CREB1|BAG1|TCF7L2|ESR1|CCND1|CSF2|JUND|PLAU|MYC|TRIP6|CCN1|NR3C1|MMP9|IFNG|FABP4|JUNB|MAFG|DUSP1|IL5","AP-1 transcription factor network","70","ENR","AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK","1.9656","0.0","AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK","false","AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK"
"8","2.795880017344075","2.795880017344075","2.795880017344075","0.9984","1","0.8055","0.0088","0.508","PPIB|CYP26A1|DHRS9|PNPLA4|RDH8|CYP3A5|DGAT1|CYP3A7|AWAT1|RDH12|SDF2L1|RDH16|BCO1|ALDH1A2|CYP3A43|DHRS4|ALDH1A1|CYP2A7|CYP2A6|CYP2A13|LRAT|RPE65|HYOU1|UGT1A1|RDH11|PDIA6|PDIA4|DNAJB11|ERP29|CYP3A4|DHRS3|CYP2B6|HSPA5|ADH1A|RETSAT|PDIA2|HSP90B1","Vitamin A Deficiency","37","ENR","VITAMIN A DEFICIENCY%SMPDB%SMP0000336","2.007","0.0016","VITAMIN A DEFICIENCY%SMPDB%SMP0000336","false","VITAMIN A DEFICIENCY%SMPDB%SMP0000336"
"1","2.5086383061657274","2.5086383061657274","2.5086383061657274","0.9969","1","0.8113","0.0178","0.931","FDFT1|FDPS|HMGCS1|MSMO1|CYP51A1|DHCR7|DHCR24|LBR|SC5D|HSD3B2|MVD|EBP|MVK|HMGCR|SQLE|PMVK|IDI1","Cholesterol synthesis disorders","17","ENR","CHOLESTEROL SYNTHESIS DISORDERS%WIKIPATHWAYS_20250810%WP5193%HOMO SAPIENS","1.9235","0.0031","CHOLESTEROL SYNTHESIS DISORDERS%WIKIPATHWAYS_20250810%WP5193%HOMO SAPIENS","false","CHOLESTEROL SYNTHESIS DISORDERS%WIKIPATHWAYS_20250810%WP5193%HOMO SAPIENS"
"21","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6363","0.004","0.181","DNAJB12|UBE2J2|TMEM129|MAN1A2|NPLOC4|VCP|SEL1L2|ANKZF1|UFD1|FAF1|MAN1C1|FBXO2|RHBDD1|HM13|FBXO27|CALR|UBXN10|HERPUD1|DNAJC10|RCN3|FBXO17|FBXO44|UBQLN2|SEC61B|SYVN1|CANX|STT3B|ERLIN2|TMEM67|AMFR|PSMC6|BRSK2|MAN1B1|RNF121|TRIM25|EDEM2|HSPA5|ECPAS|FAF2|UBE4A|ATF6|RNF145|JKAMP|HSP90B1|UBXN6|AUP1|SGTA|BAG6|AFG2B|NCCRP1|FAM8A1|GET4|STUB1|RNF175|YOD1|SEL1L|UBE2J1|CALR3|ERLIN1|CCDC47|RNF185|MAN1A1|FOXRED2|EDEM1|UBE2G2|DERL3|DERL2|RNF5|ERLEC1|OS9|RHBDD2|XBP1|PRKN|UBQLN1|WFS1|MARCHF6|DNAJB9|TOR1A|USP19|UBXN8|UBXN4|FBXO6|RNF139|EDEM3|TMUB1|RNF103|TRIM13|TMUB2|UBE4B|SELENOS|DERL1|CLGN","ERAD pathway","92","ENR","ERAD PATHWAY%GOBP%GO:0036503","2.0748","0.0","ERAD PATHWAY%GOBP%GO:0036503","false","ERAD PATHWAY%GOBP%GO:0036503"
"4","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6777","9.0E-4","0.026","PLAA|PLIN5|LONP2|CES1|KAT2B|NME1|APOA5|MLYCD|SLC45A3|PPTC7|AKT2|MTLN|BMP5|BMP6|TYSND1|PPARGC1A|CLCN2|ABCD1|MID1IP1|ERLIN2|EDN2|PGK1|CYP7A1|FANCD2OS|TRIB3|TWIST1|BCKDK|H6PD|ACADVL|GPRC6A|ADM|ACADL|BGLAP|FGFR4|ELOVL5|WNT4|DKKL1|SIRT1|PPARA|PPARD|PANK2|ERLIN1|UGT1A8|GPIHBP1|SIRT2|PDK1|DGKQ|AKT1|FABP3|PDK3|PDK2|DKK3|SOX9|BMP2|NR1D1|AKR1C3|APOA4|ETFBKMT|CAV1|SIRT4|ADCK2|SIRT5|IRS2|KLHL25|UBR4|FGF19|STAR|DCAF5|BRCA1|EGR1|APOC3|APOC2|CD74|NR1H2|NR1H3|WDTC1|IL1B|EIF6|APOC1|NR1H4|KIF12|LPGAT1|COP1|MFSD2A|INS|EDN1|PLA2G3|PIBF1|CEACAM1|ABCB11|PTGS2|REST|ANGPTL4|NCOR1|ABCD2|TPK1|PDPR|PRMT3|PDP1|PRKAG2|MLXIPL|PROX1|ADIPOQ|STARD4|IRS1|PPARG|SLC22A13|NCOR2|PDK4|APPL2","regulation of ketone metabolic process","110","ENR","REGULATION OF KETONE METABOLIC PROCESS%GOBP%GO:0010565","2.1599","0.0","REGULATION OF KETONE METABOLIC PROCESS%GOBP%GO:0010565","false","REGULATION OF KETONE METABOLIC PROCESS%GOBP%GO:0010565"
,"2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.8544","0.0012","0.039","IL6|CCL19|PTAFR|CCL4|IL10|CCL2|CCR1|IL12A|JAK1|IL10RB|CCL20|IL1A|TNFRSF1B|CXCL10|CCL3|CXCL8|CSF3|CCL5|CCL3L3|FCER2|CXCL1|LIF|IL18|STAT3|IL1RN|IL1B|IL1R1|TIMP1|CCL22|CXCL2|TNF|IL10RA|CCR5|FPR1|CCR2|CSF2|CSF1|CD80|ICAM1|TNFRSF1A|IL12B|IL1R2|TYK2|CD86|PTGS2","Interleukin-10 signaling","45","ENR","INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 93%6783783","2.1449","0.0","INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 93%6783783","false","INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 93%6783783"
"7","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.8234","0.0117","0.746","APOC1|ACSL3|ZDHHC8|PRKACG|SNX9|APOE|SOAT1|DGAT1|MFSD2A|ABCA1|APOM|APOB|SOAT2|MTTP|APOC3|APOA1|APOA4|BIN1|APOA2|ABCA7|PRKACA|PRKACB|LPCAT3|CIDEB","protein-lipid complex assembly","24","ENR","PROTEIN-LIPID COMPLEX ASSEMBLY%GOBP%GO:0065005","1.9671","0.0","PROTEIN-LIPID COMPLEX ASSEMBLY%GOBP%GO:0065005","false","PROTEIN-LIPID COMPLEX ASSEMBLY%GOBP%GO:0065005"
"17","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7285","0.014","0.835","SEL1L|RNF185|UGGT1|CALR|EDEM1|GANAB|DERL2|RNF5|CANX|SYVN1|OS9|PRKCSH|RPS27A|UBA52|UBC|AMFR|MAN1B1|MARCHF6|EDEM2|UBB|RNF139|UGGT2|PDIA3|EDEM3|RNF103|TRIM13","Calnexin calreticulin cycle","26","ENR","CALNEXIN CALRETICULIN CYCLE%REACTOME DATABASE ID RELEASE 93%901042","1.9483","0.0","CALNEXIN CALRETICULIN CYCLE%REACTOME DATABASE ID RELEASE 93%901042","false","CALNEXIN CALRETICULIN CYCLE%REACTOME DATABASE ID RELEASE 93%901042"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.8014","0.005","0.254","ELOVL7|ACSL3|ACSF3|ACSBG1|PPT2|PPT1|ACSBG2|ELOVL5|ELOVL3|HACD1|TECR|ACACA|HACD2|SLC27A2|ACSL1|ACSL5|ELOVL6|CBR4|GCDH|ACAT1|FASN|HSD17B12|HTD2|ELOVL1|ELOVL2|ACSL6|ACSL4","fatty-acyl-CoA biosynthetic process","27","ENR","FATTY-ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0046949","2.0559","0.0","FATTY-ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0046949","false","FATTY-ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0046949"
"11","2.5086383061657274","2.5086383061657274","2.5086383061657274","0.9969","1","0.723","0.036","0.999","TXNDC12|MAGEA3|BCL2L1|CREB3L1|FCGR2B|CREB3|RNF183|EIF2AK3|HERPUD1|PTPN1|SYVN1|TMBIM6|NCK2|XBP1|PRKN|NCK1|DDIT3|PARK7|BOK|LRRK2|HSPA1A|PMAIP1|OPA1|BCL2L11|SELENOS","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","25","ENR","REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235","1.8463","0.0031","REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235","false","REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235"
"18","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.6449","0.0043","0.055","MCM8|POLD3|RFC4|MCM7|LIG1|PCNA|PRIM1|POLD4|MCM4|MCM3|MCM5|MCM6|MCM2|RFC5|PRIM2|RPA2|POLD2|CDC45|GINS1|RFC1|POLA1|FEN1|GINS3|GINS4|GINS2|RPA1|RFC3|RFC2|DNA2|POLD1|RPA3|POLA2","DNA strand elongation","32","ENR","DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190","-2.0975","0.0","DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190","false","DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7843","0.0101","0.676","FDFT1|ACAT2|FDPS|NSDHL|MSMO1|SOAT1|CYP51A1|LSS|GGPS1|TM7SF2|LIPA|DHCR24|SC5D|EBP|MVD|HSD17B7|MVK|HMGCR|SQLE|PMVK|IDI1","Mevalonic Aciduria","21","ENR","MEVALONIC ACIDURIA%SMPDB%SMP0000510","1.9793","0.0","MEVALONIC ACIDURIA%SMPDB%SMP0000510","false","MEVALONIC ACIDURIA%SMPDB%SMP0000510"
"11","2.795880017344075","2.795880017344075","2.795880017344075","0.9984","1","0.7862","0.0216","0.969","TXNDC12|MAGEA3|XBP1|PRKN|BCL2L1|PARK7|CREB3L1|CREB3|LRRK2|HERPUD1|PTPN1|HSPA1A|OPA1|SYVN1|SELENOS|TMBIM6","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","16","ENR","NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902236","1.9036","0.0016","NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902236","false","NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902236"
