"__mclCluster","EnrichmentMap::-log10(pvalue) (A2_enrichment)","EnrichmentMap::-log10(pvalue)*sign(NES) (A2_enrichment)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (A2_enrichment)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (A2_enrichment)","EnrichmentMap::fdr_qvalue (A2_enrichment)","EnrichmentMap::fwer_qvalue (A2_enrichment)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (A2_enrichment)","EnrichmentMap::pvalue (A2_enrichment)","name","selected","shared name"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7135","0.0102","0.667","ELOVL7|ACSL3|ACSF3|ACSBG1|PPT2|PPT1|ACSBG2|HACD1|GGT6|TECR|GGTA1|HACD2|ACACA|AWAT1|GGT1|GGTLC2|ACSS3|ACSL1|ACSL5|CBR4|ALOX15|GCDH|HMGCLL1|AACS|FASN|HSD17B12|ACSL6|GGTLC1|GGTLC3|ELOVL5|ELOVL3|ALOX5|SLC27A2|ELOVL6|ALOX15B|PAM|HMGCL|ACAT1|AWAT2|ALOX12|FAR1|FAR2|GGT5|GGT2P|GGT7|HTD2|HMGCS2|GGT3P|ELOVL1|ELOVL2|ACSL4","fatty acid derivative biosynthetic process","51","ENR","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570","1.9814","0.0","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570","false","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570"
"18","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.4952","0.0447","0.949","H2AB1|TINF2|POT1|POLD3|TERF2IP|ACD|MBD4|H2AC8|H2AC6|TERF2|H2AJ|H2AC7|TERF1|PCNA|POLD4|LIG3|H2BC3|POLD2|PNKP|NTHL1|H2BC26|OGG1|ADPRS|H2BC17|H2BC1|H2BC13|H2BC14|RPA1|H2BC15|H2BC11|POLE4|PARP1|RPA3|POLE3|NEIL3|RFC4|H2AC19|PARP2|H2AX|XRCC1|H2AC14|MPG|LIG1|POLE|H3-4|H2BC12|H2AC20|H2BC12L|TDG|NEIL1|RFC5|RPA2|POLB|POLE2|H4C9|APEX1|RFC1|FEN1|H2AZ2|RFC3|H2BC9|SMUG1|H2BC8|RFC2|H2BC21|NEIL2|H2BC5|POLD1|PARG","Base Excision Repair","69","ENR","BASE EXCISION REPAIR%REACTOME%R-HSA-73884.4","-1.8334","0.0","BASE EXCISION REPAIR%REACTOME%R-HSA-73884.4","false","BASE EXCISION REPAIR%REACTOME%R-HSA-73884.4"
"5","2.494850021680094","2.494850021680094","2.494850021680094","0.9968","1","0.7406","0.0401","1.0","RB1|AKR1B1|ALOXE3|ELOVL5|SIRT1|HEL-S-53E|PTGS1|PTGIS|ALOX5|ALOX5AP|HPGD|GPX1|PTGES|LTC4S|ALOX15B|ALOX15|MAPK11|ALOX12|HEL-S-298|DECR1|CDKN1A|CYP4F8|PRXL2B|FADS2|PTGES3|NAT2|DPEP2|EPHX2|HEL-S-22|SLCO2A1|PTGS2|FADS1|ELOVL2","Omega 6 fatty acids in senescence","33","ENR","OMEGA 6 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250810%WP5424%HOMO SAPIENS","1.834","0.0032","OMEGA 6 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250810%WP5424%HOMO SAPIENS","false","OMEGA 6 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250810%WP5424%HOMO SAPIENS"
"34","2.886056647693163","2.886056647693163","2.886056647693163","0.9987","1","0.5664","0.0431","1.0","HTR7|PRMT5|AANAT|NUDT12|KDM2A|CIART|RORA|RORC|NR1D2|MYCBP2|MTNR1A|KMT2A|AHR|PPARGC1A|NDUFA9|USP2|OGT|KDM5A|TNFRSF11A|BHLHE40|NOCT|DRD2|LGR4|CAVIN3|PROKR1|PROKR2|SIRT1|CSNK1D|PPARA|PER3|PLN|ATF4|CARTPT|MTA1|NRIP1|PTEN|GPR176|NCOA2|NR1D1|NPAS2|PER2|CRY2|CRY1|TOP1|HUWE1|SIRT6|NAMPT|HDAC1|NR0B2|PPP1CA|DRD3|RBM4|MAGED1|BMAL2|NGFR|EGR1|GFPT1|HDAC3|ZFHX3|EP300|MC3R|EGR3|GSK3B|PPP1CC|METTL3|MYBBP1A|IMPDH2|PPP1CB|NONO|TP53|RELB|NFIL3|HNRNPD|HNRNPU|ID2|SUV39H1|NCOR1|BHLHE41|PER1|ASS1|KLF9|RAI1|C3ORF70|TIMELESS|KDM8|SUV39H2|BTBD9|CREB1|RBM4B|BMAL1|PASD1|CLOCK|HDAC2|NFILZ|PML|CSNK1E|DYRK1A|HEBP1","circadian rhythm","98","ENR","CIRCADIAN RHYTHM%GOBP%GO:0007623","1.8243","0.0013","CIRCADIAN RHYTHM%GOBP%GO:0007623","false","CIRCADIAN RHYTHM%GOBP%GO:0007623"
"14","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.4547","0.0475","0.966","MRPL33|MRPL4|MRPL41|MRPL42|MRPL2|MRPL1|CHCHD1|MRPS28|MRPS26|MRPS27|MRPS24|MRPS25|MRPS23|MRPS18B|MRPL49|MRPS2|MRPS18A|MRPS21|MT-CO1|MRPL47|MRPL48|MT-ATP6|MRPS7|MRPL45|MRPL46|MRPS30|MRPS6|MRPS5|MRPL43|MRPS18C|MRPL44|MRPL52|MRPL53|MRPL50|MRPL15|MRPS9|MRPL51|MRPS35|MRPS33|MRPL18|MRPL19|MRPS34|MRPL16|MRPL17|MRPS31|MRPL14|MRPL58|MRPL12|MRPL57|MRPL13|MTRF1|MRPL54|MRPL10|MRPL55|MT-CO3|MRPL20|GADD45GIP1|MRPL27|MRPL28|ERAL1|OXA1L|MRPL24|MRPL21|MRPL22|KGD4|MRPL30|MRPS17|MRPS16|MRPS14|MRPL3|AURKAIP1|MT-ND6|MT-ND4|DAP3|MT-ND5|MRPL40|MT-ND2|MT-ND3|MT-ND1|MT-ND4L|GFM2|MT-CYB|MRRF|MT-ATP8|MTRF1L|MRPL11|MRPL23|PTCD3|MT-CO2|MRPS15|MRPS11|MRPS12|MRPL34|MRPL9|MRPL35|MRPL38|MRPS10|MRPL39|MRPL36|MRPL37|MRPS22|MRPL32","Mitochondrial translation termination","102","ENR","MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5","-1.8227","0.0","MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5","false","MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.801","0.0102","0.671","ELOVL7|ACSL3|TECRL|ACSF3|ACSBG1|SLC27A3|ELOVL3|ELOVL5|ACSBG2|HACD1|TECR|HACD3|HSD17B3|HACD2|ELOVL4|HSD17B12|ACSL1|ACSL5|ELOVL6|HACD4|ELOVL1|ELOVL2|ACSL6|ACSL4","Synthesis of very long-chain fatty acyl-CoAs","24","ENR","SYNTHESIS OF VERY LONG-CHAIN FATTY ACYL-COAS%REACTOME%R-HSA-75876.10","1.9804","0.0","SYNTHESIS OF VERY LONG-CHAIN FATTY ACYL-COAS%REACTOME%R-HSA-75876.10","false","SYNTHESIS OF VERY LONG-CHAIN FATTY ACYL-COAS%REACTOME%R-HSA-75876.10"
"9","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7935","0.0092","0.556","RELCH|TPCN2|CES1|STAR|VPS4A|LDLR|TSPO2|ABCG1|PIP4K2A|ARV1|ABCA1|GRAMD1C|NPC2|GRAMD1A|OSBP|OSBPL2|STARD4|LDLRAP1|SYT7|GRAMD1B|NPC1|SERAC1|ARL8B","intracellular sterol transport","23","ENR","INTRACELLULAR STEROL TRANSPORT%GOBP%GO:0032366","1.9982","0.0","INTRACELLULAR STEROL TRANSPORT%GOBP%GO:0032366","false","INTRACELLULAR STEROL TRANSPORT%GOBP%GO:0032366"
"7","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6852","0.0061","0.335","SCARB1|PNLIPRP3|ACSM3|ABCA2|INSIG1|CES1|ABCG8|PCSK5|LIPG|RORA|APOA5|ABCA1|SOAT2|NPC2|MTTP|APOC3|LCAT|APOC2|ABCG4|LDLRAP1|LDAH|ABCA5|LIMA1|IL18|NR1H2|CYP39A1|NR1H3|GRAMD1B|NEGR1|DISP3|PNLIP|NR1H4|ABCD1|CYP7B1|NPC1L1|APOE|RALY|ABCG1|CYP7A1|APOM|APOB|PLA2G10|ABCG5|APOA1|ACSM1|APOA2|ABCB11|EPHX2|CAV3|CNBP|TSKU|CETP|LRP5|HSDL2|FGFR4|LDLR|LAMTOR1|SIRT1|SOAT1|PLA2G12B|CD24|EHD1|GPIHBP1|PCSK9|DGAT2|HNF4A|NPC1|LIPC|ANGPTL3|FABP3|NR1D1|MALL|XBP1|TMEM97|TTC39B|APOA4|PNLIPRP1|AKR1C1|CAV1|FURIN|PNLIPRP2|LPL|HDAC9|MINAR2","sterol homeostasis","84","ENR","STEROL HOMEOSTASIS%GOBP%GO:0055092","2.0374","0.0","STEROL HOMEOSTASIS%GOBP%GO:0055092","false","STEROL HOMEOSTASIS%GOBP%GO:0055092"
"7","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7936","0.007","0.398","SCARB1|GCKR|OSBPL11|FUNDC2|ANGPTL4|SIRT1|RORA|PLA2G12B|APOA5|ANGPTL8|APOC3|APOC2|GPIHBP1|LDAH|MTLN|APOC4|IL18|C1QTNF3|DGAT2|NR1H3|HNF4A|ANGPTL3|LIPC|APOC1|NR1H4|MLXIPL|PNPLA2|ACSM2A|XBP1|APOE|APOA1|PNPLA8|APOA4|OSBPL8|FITM2|LPL|CETP","acylglycerol homeostasis","37","ENR","ACYLGLYCEROL HOMEOSTASIS%GOBP%GO:0055090","2.0241","0.0","ACYLGLYCEROL HOMEOSTASIS%GOBP%GO:0055090","false","ACYLGLYCEROL HOMEOSTASIS%GOBP%GO:0055090"
"8","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.8616","0.0022","0.091","PPIB|UGT1A1|PDIA6|PDIA4|DNAJB11|ERP29|ABCB1|CYP3A5|CYP3A4|SDF2L1|PTGS1|HSPA5|MPO|ABCC3|TOP2A|TOP2B|PDIA2|HSP90B1|HYOU1|PTGS2","Etoposide Action Pathway","20","ENR","ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442","2.1124","0.0","ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442","false","ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442"
