"__mclCluster","EnrichmentMap::-log10(pvalue) (A2_enrichment)","EnrichmentMap::-log10(pvalue)*sign(NES) (A2_enrichment)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (A2_enrichment)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (A2_enrichment)","EnrichmentMap::fdr_qvalue (A2_enrichment)","EnrichmentMap::fwer_qvalue (A2_enrichment)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (A2_enrichment)","EnrichmentMap::pvalue (A2_enrichment)","name","NumChildren","NumDescendents","selected","shared name"
"11","2.7977661679222687","2.7977661679222687","2.7977661679222687","1.0","1","0.8281","0.0","0.0","UBXN1|UBXN2A|LRRK2|TXNDC12|PARK7|CLU|HERPUD1|UFL1|ATXN3L|OPA1|CREB3L1|NCK2|RACK1|AKT1|MAGEA3|BOK|NCK1|SHISA5|ATAD3A|ERN1|CREB3|SELENOS|TMEM33|TMEM259|TMX1|PIGBOS1|DDIT3|TMBIM6|NUPR1|ATF6|PPP1R15A|USP13|PRKN|USP14|PPP1R15B|FICD|ATF6B|PIK3R1|USP19|RNFT1|BAG6|ATXN3|BCL2L11|DDRGK1|ALOX5|AGR2|UBQLN1|DNAJB9|PMAIP1|BAK1|UBQLN2|BCAP31|PTPN1|USP25|XBP1|HSPA5|WFS1|NR1H2|CAV1|SGTA|SYVN1|EIF2AK3|DAB2IP|NR1H3|BFAR|ABCA7|SVIP|MANF|COPS5|LPCAT3|AQP11|BAX|STUB1|RNF183|FCGR2B|RNF185|MBTPS2|BCL2L1|NFE2L2|HSPA1A","stress reticulum endoplasmic","80","ENR","REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1905897,NEGATIVE REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1903573,REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:1900101,NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:1900102,NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902236,REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235","2.3832","0.0",,"0","0","false",
"33","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7671","0.0203","0.962","SLC22A4|SLC47A1|SLC43A2|SLC22A2|SLC1A1|SLC43A1|SLC1A2|SLC1A3|SLC3A1|SLC3A2|SLC1A4|SLC1A5|SLC7A11|SLC1A6|SLC6A20|SLC7A10|SLC7A1|SLC7A2|SLC7A3|SLC25A29|SLC38A3|SLC16A2|SLC36A4|SLC38A2|SLC38A5|SLC38A4|SLC36A1|SLC38A1|SLC6A19|SLC36A2|SLC6A18|SLC6A15|SLC6A14|SLC6A13|SLC6A12|SLC16A10|SLC6A5|SLC7A5|SLC6A6|TSPO2|SLC6A7|SLC7A6|SLC7A7|SLC7A8|SLC6A9|SLC7A9","amino plasma membrane","46","ENR","AMINO ACID IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0089718,AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE%REACTOME%R-HSA-352230.5","1.9084","0.0",,"0","0","false",
"12","2.82798087342781","2.82798087342781","2.82798087342781","1.0","1","0.7606","0.0","0.0","ATF2|CRTC2|SLC46A1|SLC27A1|CRTC3|CRTC1|RORC|HNRNPU|CCNC|RORA|AHR|TNF|BACH1|CCND3|EP300|FADS1|SULT2A1|MED1|MEF2C|CPT1A|ACSL1|ADIPOQ|MED8|DIO2|EBF1|EBF2|MED9|MED4|MED6|MED7|TIAM2|TBL1XR1|TRIB3|CLOCK|PEX11A|ABCB4|LPL|LY96|NRF1|COX7A1|NPAS2|HELZ2|RAI1|MED30|MED31|PRDM16|HMOX1|PCK1|ZNF423|WNT1|APOB|PPARGC1A|PPARGC1B|FDFT1|ESRRA|ABCA1|SMAD1|WNT10B|CREBBP|EGR2|SMAD4|CDK19|TGFB1|CIDEA|NR2F2|NR1D1|BMP7|NFKB1|MED13L|CDK8|CDK4|SP1|CYP1A1|MAFK|RGL1|NFE2L2|ALAS1|CHD9|FHL2|MED19|ADIRF|HBB|CHD4|CHD3|SLC2A4|MED16|MED15|MED18|MED17|MED12|MED11|MED14|GLIPR1|MED13|XPO1|CPT2|SIN3A|MED10|ANKRD1|ME1|CD36|ACADM|HMGCS2|CLEC1B|NCOA1|NCOA2|SREBF1|HMGCS1|NCOA6|NCOA3|ELOVL3|CYP4A11|APOA2|APOA1|ARNT|HBA2|MED27|MED26|SIRT1|APOA5|MED29|SREBF2|MED28|MED23|NCOR2|MED22|MED25|MED24|NCOR1|THRAP3|MED21|ZNF638|MTF1|MED20|AHRR|PPARG|PLIN2|PLIN1|ANGPTL4|PPARA|TLR4|TNFRSF21|CEBPA|CEBPB|HDAC2|SMARCD3|HDAC3|CEBPD|HDAC1|UCP1|GPS2|CYP7A1|RELA|RXRB|MTA1|RXRA|PGRMC2|RBBP4|FAM120B|TGS1|NRIP1|TBL1X|RBBP7|MTA2|ZNF467|UGT1A9|MTA3|MEF2D|MBD3|ARNT2|NFYA|NFYB|NR1H2|TXNRD1|NFYC|NR1H4|G0S2|NR1H3|KLF4|GRHL1|GATAD2B|AGT|GATAD2A|FABP1|KLF5|FABP4|CARM1|LEP|BMAL1","rora nr1d1 rev","189","ENR","ADIPOGENESIS%REACTOME%R-HSA-9843745.1,HEME SIGNALING%REACTOME%R-HSA-9707616.4,RORA,B,C AND NR1D1 (REV-ERBA) REGULATE GENE EXPRESSION%REACTOME%R-HSA-9933387.1,PPARA ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-1989781.6,REGULATION OF LIPID METABOLISM BY PPARALPHA%REACTOME%R-HSA-400206.8,TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%381340","2.2739","0.0",,"0","0","false",
"34","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5664","0.0358","0.999","PRF1|HNRNPU|CCAR2|GPR176|HTR7|NAMPT|PROK2|BTRC|PROK1|SKP1|UTS2R|CPT1A|METTL3|SOX14|CSNK1D|CSNK1E|CLDN4|SIK1|ATF5|TP53|CLOCK|ATF4|TPH2|TPH1|MAGED1|PRKDC|MYCBP2|MTTP|NKX2-1|PPARGC1A|NGFR|EGR1|JUN|EGR3|JUND|HOMER1|NR1D2|NR1D1|NR0B2|NR2F6|SETX|STAR|TH|ID2|HNRNPD|ID4|ID3|FBXL3|ADA|EZH2|TOP2A|SUV39H2|SUV39H1|KDM8|BHLHE41|PRMT5|NCOA2|KCND2|SFTPC|PAX4|SIRT6|PROX1|SIRT1|MC3R|F7|NCOR1|NFILZ|KCNMA1|PPARG|AVP|PPARA|PHLPP1|CIPC|ADCY1|TYMS|RELB|NPS|PROKR1|PROKR2|NFIL3|RPS27A|ARNT2|CAVIN3|HUWE1|PASD1|NR1H3|PPP1CA|PER2|PER1|PER3|MYBBP1A|GHRH|FAS|BMAL2|AGRP|GHRL|BMAL1|LGR4|CHRM1|CRTC1|NPY2R|RORC|RORA|UBE3A|AHR|RORB|PPP1CB|PPP1CC|EP300|NUDT12|CHRNB2|KDM2A|KCNH7|FBXW11|USP2|DYRK1A|CARTPT|SLC9A3|MTNR1A|MTNR1B|PSPC1|TIMELESS|UTS2|HEL-S-80P|DDX5|MAGEL2|KMT2A|C3ORF70|CREM|BHLHB2|TNFRSF11A|NPAS2|C1ORF51|RAI1|AANAT|UBC|DRD1|DRD2|DRD3|DRD4|ZFHX3|OPN4|OPN3|NONO|GFPT1|BTBD9|IL6|CDK4|BHLHE40|TCF2|OGT|KDM5A|GSK3B|PTEN|NR1C1|HEBP1|RBM4|DBP|SIN3A|SIX3|PRKG2|HEL-S-2|KLF10|SFPQ|CREB1|ADORA2A|THRAP3|CRY2|CRY1|CRH|TOP1|HDAC2|NLGN1|PRKAA1|DDC|HDAC3|PRKAA2|HDAC1|ROCK2|CRX|RBM4B|CIART|ATOH7|MAPK9|MAPK8|PLN|MTA1|NOCT|GNA11|NRIP1|NDUFA9|NTRK1|NOS2|NTRK3|ASS1|PML|HCRTR2|HS3ST2|HCRTR1|MAPK10|IMPDH2|LEP|KLF9","circadian rhythm genes","203","ENR","CIRCADIAN RHYTHM%GOBP%GO:0007623,CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20250810%WP3594%HOMO SAPIENS","1.8475","0.0",,"0","0","false",
"13","2.8331532457178046","2.8331532457178046","2.8331532457178046","1.0","1","0.6043","0.0167","0.897","GUCY1B2|ACAA2|GUCY1B1|RORA|PLOD2|PLOD1|AQP3|AQP1|LOXL2|NPEPPS|ALKBH5|FAM162A|MYC|LONP1|PDK3|EP300|PDK1|CHRNB2|BNIP3L|GUCY1A2|ATP6V1G1|GUCY1A1|TSC1|PGF|SFRP1|ADAM17|CLDN3|DDIT4|ADAM8|MGARP|ATP6V0D1|TP53|AJUBA|ATP6V1A|NOTCH1|EPAS1|CHRNA4|CHRNA7|GATA6|ITPR1|TWIST1|ITPR2|AK4|HIF1A|NDRG1|CIAO3|FOXO1|ZFP36L1|HSP90B1|DPP4|CYB5R4|TERT|PGK1|ATP6V0A2|PMAIP1|ATG7|HMOX2|EGR1|SMAD4|TGFB2|TGFB1|SMAD3|TGFB3|CAV1|BMP7|MT3|CPEB1|BMP2|TBL2|RGCC|TH|MDM2|NF1|PIN1|MDM4|HYOU1|SCN2A|CD24|CPEB2|ADA|NFE2L2|CPEB4|RYR1|SUV39H2|RYR2|ALAS2|CITED2|SUV39H1|HILPDA|HP1BP3|FMN2|ADO|LIMD1|RPTOR|FUNDC1|MLST8|NOS1|PLEKHN1|NKX3-1|MYOCD|PTGIS|KCND2|ATP6AP1|MMP2|NGB|ARNT|SIRT1|CBFA2T3|SIRT2|KCNMA1|NDUFS2|PICK1|PPARG|ANG|ANGPTL4|OPRD1|PRKAA1|SRF|NDUFA4L2|CXCR4|NDNF|PTGS2|ASCL2|THBS1|TM9SF4|VMA12|LMNA|UCP2|UBQLN1|VHL|EGLN1|ANGPT4|ARNT2|EGLN3|TIGAR|EGLN2|BAD|BNIP3|VEGFB|VEGFC|VEGFD|WTIP|MTOR|USF1|PML|HIPK2|VEGFA|SLC8A3|FABP1|PINK1|REST|VMA22|FAS|STUB1|P4HB|NOP53","decreased oxygen levels","156","ENR","CELLULAR RESPONSE TO OXYGEN LEVELS%GOBP%GO:0071453,CELLULAR RESPONSE TO HYPOXIA%GOBP%GO:0071456,RESPONSE TO HYPOXIA%GOBP%GO:0001666,CELLULAR RESPONSE TO DECREASED OXYGEN LEVELS%GOBP%GO:0036294,RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482,RESPONSE TO DECREASED OXYGEN LEVELS%GOBP%GO:0036293","1.933","0.0",,"0","0","false",
"14","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.5605","0.0012","0.009","MT-ND6|MT-ND4L|MTFMT|MT-ND4|MT-ND5|MT-CO1|MT-ND2|MT-ND3|YARS2|MT-ND1|MTRF1|CHCHD1|EARS2|RARS2|MRPS18B|MRPS18A|MRPS18C|TUFM|OXA1L|LARS2|MT-CO2|TARS2|MT-CO3|AURKAIP1|DAP3|AARS2|MRPL18|MRPL19|MRPL16|MRPL17|MRPL14|MRPL15|MRPL12|MRPL13|MRPL10|MRPL11|MRPL20|MRPL27|MRPL28|ERAL1|MRPL23|MRPL24|HARS2|MRPL21|MRPL22|MRPL30|MT-CYB|MRPS17|MRPS15|GFM1|MRPS16|MRPS14|GFM2|FASTKD2|MRPS11|MRPS12|MRPL38|MRPS10|MRPL39|MRPL36|MRPL37|MRPL34|MRPL35|MRPL32|MRPL33|MRPL4|MRPL41|MT-ATP6|MRPL42|MRPL3|MRPL2|MRPL1|MRPL40|MRPL9|MRPS28|TSFM|MRPS26|MRPS27|MRPS24|MRPS25|MRPS22|MRPS23|MRPL49|MRPS2|MRPS21|DARS2|MRPL47|MRPL48|MRPS7|MRPL45|QRSL1|MRPL46|MRPS6|MRPS5|MRPL43|MRPL44|MRPL52|MRPL53|MRPL50|MRPS9|MRPL51|SARS2|MRRF|MTRF1L|MRPS35|MRPS33|MRPS34|MRPS31|MRPL58|MTIF2|MRPS30|MTIF3|MIEF1|MALSU1|MRPL57|MRPL54|MRPL55|IARS2|GADD45GIP1|PTCD3|GATC|GATB|MT-ATP8|KGD4|WARS2|GARS1|MTRFR|MTRES1|NDUFAB1","mitochondrial quality translation","129","ENR","MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 93%5368286,MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3,MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.5,MITOCHONDRIAL RIBOSOME-ASSOCIATED QUALITY CONTROL%REACTOME%R-HSA-9937383.1,MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.5,MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543","-2.2036","0.0",,"0","0","false",
"15","2.6250047733339543","2.6250047733339543","2.6250047733339543","1.0","1","0.7088","0.0107","0.709","ZNF512B|FOXA1|SPI1|PRL|NR3C1|TNF|ETS1|FGF2|MYC|MYB|ZC3H12A|SOX9|TEAD1|HRAS|IL10|SREBF1|MRTFB|RC3H1|MRTFA|PAX6|FOS|POU5F1|RC3H2|GNL3|NCOR2|AR|NCOR1|MYCN|RARA|PPARG|PPARA|TP53|PPARD|NOTCH2|NOTCH3|SRF|PDGFB|TWIST1|GATA3|GATA2|FOXO3|HIF1A|RELA|EGFR|TERT|ATOH8|ZSWIM8|TENT2|NGFR|EGR1|JUN|TGFB2|TGFB1|SMAD3|PNPT1|POU2F1|STAT3|NFATC3|KLF4|ESR1|LILRB4|NFKB1|AGT|VEGFA|NFATC4|APLN|SMARCA4|BMP4|FOSL1|REST|IL6|LIN28B|NFIB|WT1","mirna transcription regulation","74","ENR","NEGATIVE REGULATION OF MIRNA TRANSCRIPTION%GOBP%GO:1902894,REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000628,REGULATION OF MIRNA TRANSCRIPTION%GOBP%GO:1902893,NEGATIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000629,POSITIVE REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000630","1.9734","0.0",,"0","0","false",
"16","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6894","1.0E-4","0.001","RB1|H2AB1|H2AC19|CCNC|LIPE|H2AC14|H2BC12L|PDK4|KAT8|EP300|PHLDA1|MEN1|MED1|H2AC8|DGAT2|H2AC6|H2AC7|ACSL1|ADIPOQ|MED4|HCFC2|MED6|MED7|HCFC1|TBL1XR1|WDR82|AJUBA|KMT2D|PAXIP1|KMT2A|KMT2C|PEX11A|KMT2B|BOD1L1|LPL|MED30|MED31|MBIP|ABL1|TASP1|PPARGC1A|PPARGC1B|KAT14|DR1|CREBBP|H4C9|BOD1|SETD1B|SETD1A|CIDEC|CDK8|TADA2A|ZZZ3|YEATS2|CDK5|H2AC20|TADA3|OGT|H2AX|PHF20|AKAP8L|DPY30|PSIP1|ASH2L|SGF29|MED16|MED17|PAGR1|MED12|MED14|H2BC26|MED13|MED10|H2BC21|WDR5|CD36|KDM6A|H3-3B|NCOA1|NCOA2|H3C8|ELOVL5|NCOA6|NCOA3|NCOA4|MED27|H2BC17|SIRT1|MED23|H2BC12|PHF20L1|NCOR2|KAT2B|H2BC13|H2AJ|H2BC14|KAT2A|H2BC15|MED24|NCOR1|MED20|H2BC11|PLIN4|PLIN2|PLIN1|ANGPTL4|MGLL|CEBPA|ACSS3|HDAC3|CXXC1|GPS2|AGPAT2|H3C15|RXRA|RBBP5|TBL1X|H2BC9|H2AZ2|H2BC8|H2BC5|H2BC3|MCRS1|SCD5|H2BC1|FABP4|KANSL1|GPAM|SCD|KANSL2|KANSL3|THRSP|LPIN1|PNPLA2","epigenetic complexes mll4","134","ENR","EPIGENETIC REGULATION BY WDR5-CONTAINING HISTONE MODIFYING COMPLEXES%REACTOME DATABASE ID RELEASE 93%9917777,EPIGENETIC REGULATION OF ADIPOGENESIS GENES BY MLL3 AND MLL4 COMPLEXES%REACTOME DATABASE ID RELEASE 93%9851695,MLL4 AND MLL3 COMPLEXES REGULATE EXPRESSION OF PPARG TARGET GENES IN ADIPOGENESIS AND HEPATIC STEATOSIS%REACTOME DATABASE ID RELEASE 93%9841922,EPIGENETIC REGULATION OF GENE EXPRESSION BY MLL3 AND MLL4 COMPLEXES%REACTOME%R-HSA-9818564.1","2.2643","0.0",,"0","0","false",
"17","2.6929198044767517","2.6929198044767517","2.6929198044767517","1.0","1","0.7461","0.0061","0.323","VCP|UBXN1|PRKCSH|SEL1L|NGLY1|DERL1|DERL2|RNF5|GANAB|RNF139|OS9|UBB|MAN1A2|UBC|MAN1C1|MLEC|MAN1A1|AGA|UGGT2|RPS27A|UGGT1|MARCHF6|EDEM3|PDIA3|AMFR|EDEM1|EDEM2|OGA|SYVN1|MOGS|RAD23B|RNF103|PSMC1|CANX|TRIM13|MAN1B1|CALR|RNF185|UBA52|ENGASE","calnexin calreticulin cycle","40","ENR","PROTEIN DEGLYCOSYLATION%GOBP%GO:0006517,CALNEXIN CALRETICULIN CYCLE%REACTOME DATABASE ID RELEASE 93%901042,ER QUALITY CONTROL COMPARTMENT (ERQC)%REACTOME%R-HSA-901032.7,N-GLYCAN TRIMMING IN THE ER AND CALNEXIN CALRETICULIN CYCLE%REACTOME DATABASE ID RELEASE 93%532668","2.0398","0.0",,"0","0","false",
"18","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.6449","0.0043","0.055","MPG|DSCC1|H2AB1|H2AC19|H2AC14|H2BC12L|RUVBL2|RUVBL1|H2AC8|DAXX|LIG1|H2AC6|H2AC7|TINF2|LIG3|NEIL3|SHQ1|NEIL2|DKC1|NHP2|ADPRS|DNA2|NEIL1|PIF1|RTEL1|BLM|CHTF8|TERT|NTHL1|GAR1|CTC1|ANKRD28|ACD|H4C9|XRCC1|POLA1|POLA2|H2AC20|CDK2|NOP10|WRAP53|H2AX|FEN1|MCM7|MCM8|OGG1|CHTF18|POLB|PPP6C|H2BC26|H2BC21|PPP6R3|POLE|H3-3B|RFC5|RFC3|RFC4|RFC1|PARP1|RFC2|PARP2|ATRX|TERF1|TERF2|H2BC17|CCNA2|H2BC12|H2BC13|CCNA1|H2AJ|H2BC14|H2BC15|H2BC11|MCM3|MCM4|POT1|TERF2IP|MCM5|MCM6|MCM2|PRIM2|PCNA|PARG|PRIM1|PNKP|POLD3|POLD4|WRN|CDC45|POLR2A|POLR2B|POLD1|POLR2C|TDG|POLD2|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|GINS1|H2BC9|GINS2|H2AZ2|MBD4|STN1|H2BC8|H2BC5|GINS3|H2BC3|GINS4|RPA1|H2BC1|RPA2|POLE4|SMUG1|TEN1|H3-4|RPA3|POLE2|APEX1|POLE3","base excision repair","126","ENR","DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190,TELOMERE MAINTENANCE%REACTOME DATABASE ID RELEASE 93%157579,BASE EXCISION REPAIR%REACTOME%R-HSA-73884.4","-2.0975","0.0",,"0","0","true",
"19","2.875328419902696","2.875328419902696","2.875328419902696","1.0","1","0.6616","0.0101","0.672","ACADVL|GSK3A|CXCL8|FKBP14|HERPUD1|MYDGF|TATDN2|SERP1|CREB3L3|CREB3L4|KHSRP|CREB3L1|CREB3L2|TSPYL2|IGFBP1|DIS3|DDX11|PLA2G4B|PPP2R5B|WIPI1|PDIA6|ARFGAP1|PDIA5|DNAJC3|ERN1|DCSTAMP|CREB3|CTDSP2|DDIT3|DNAJB11|PREB|KDELR3|ATP6V0D1|TLN1|ATF6|ATF3|DCP2|ATF4|CUL7|CEBPB|ATF6B|SHC1|DCTN1|GOSR2|CEBPG|CXXC1|PARN|ADD1|HSP90B1|EXOSC7|EXOSC6|EXTL2|EXOSC5|EXTL1|EXOSC4|EXOSC9|LMNA|EXOSC8|SSR1|DNAJB9|CCL2|EXOSC3|EXTL3|EXOSC2|SULT1A3|EXOSC1|SEC31A|KLHDC3|ZBTB17|MBTPS1|HSPA5|NFYA|WFS1|NFYB|EDEM1|NFYC|GFPT1|SYVN1|EIF2AK3|ASNS|EIF2S2|EIF2S1|YIF1A|EIF2S3|SRPRA|CREBRF|SRPRB|TPP1|HDGF|HYOU1|CALR|MBTPS2","xbp1 activates chaperones","92","ENR","IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3,XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5,UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME DATABASE ID RELEASE 93%381119","1.9802","0.0",,"0","0","false",
"20","2.4801508148065214","2.4801508148065214","2.4801508148065214","1.0","1","0.7065","0.0179","0.924","ERRFI1|REG3A|FOXC1|IL20|ROCK1|NUMA1|ROCK2|REG3G|ABCA12|MACROH2A2|DLL1|MACROH2A1|AQP3|ZFP36L1|SPRR5|CYP27B1|ZFP36|ZBED2|SFN|HOXA7|EXTL3|MED1|PRKCH|VDR|NCOA3|KRT2|KDF1|NME2|KRT10|GDF3|ETV4|PLAAT4|SGPP1|ELAPOR2|SULT2B1|BMP4|KLF7|SFRP4|ESRP1|MAFG|MAFF|TMEM79|PKP1|TRIM16|SRSF6","epidermis development keratinocyte","45","ENR","REGULATION OF EPIDERMIS DEVELOPMENT%GOBP%GO:0045682,REGULATION OF EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0045604,REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616","1.9259","0.0",,"0","0","false",
